,job_title,company_name,location,salary,job_desc,position
49,Data Scientist,flybuys,Melbourne VIC,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Melbourne VIC</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>About us:</b></p><p>
After 25 successful years,<b> </b><b><i>flybuys</i></b> is in an exciting new phase of growth – almost like being back in startup mode. Not only do we have a renewed focus on product development and innovation, we’re also dedicated to developing all our team members and supporting them with everything they need to reach their potential. When people are valued and recognised, that’s when they can really be inspired to bring their best.</p><p><b>
Our team:</b></p><p>
We believe people work better and have more fun when they have the freedom and flexibility to make their work fit around their life. Good ideas can come from anywhere, which is why all our team members are encouraged and empowered to contribute to the success of <b><i>flybuys</i></b>. Innovation happens more effectively when we pull in the same direction – and it’s more fun. We are a collaborative team that celebrates achievements and provides opportunities for growth.</p><p><b>
The opportunity:</b></p><p>
We currently have a newly created opportunity available for a Data Scientist to join our growing team. Reporting to the Data Science Lead, in this position will be responsible for:</p><ul><li>
Shape and implement the analytics roadmap fulfill requirements.</li><li>
Share knowledge and experience across the wider team</li><li>
Train and develop team members in the flybuys analytics team</li><li>
Influence the development of the vision for the teams analytic architecture</li><li>
Collaborate with stakeholders in business and technology streams to deliver valuable solutions to business problems</li><li>
Prioritisation of analytics projects in-line with overall business priorities</li><li>
Serve as a trusted advisor by cultivating relationships with stakeholders to improve their understanding and knowledge of analytical techniques and outcomes.</li><li>
Effective Communication with key stakeholders around the delivery of key projects</li><li>
Design and implement new algorithms to meet business needs</li><li>
Lead projects to deliver on time and high quality</li><li>
Work according to the agile project methodology</li><li>
Develop processes that streamline the integration of analytical resources into campaign</li></ul><p><b>
To be successful you will have:</b></p><ul><li>
Analytics professional with a proven track record (ideally 6+ years) in advanced analytics / data science</li><li>
Experience of working within large, complex, cross functional projects</li><li>
Experience in clearly articulating commercial benefits of analytics</li><li>
Experience in digital marketing and campaign analytics</li><li>
Experience of large, complex data sets</li><li>
Great influencing and storytelling skills and the ability to navigate internal and external organisations to build and leverage relationships</li><li>
Track record in solving business problems using analytics</li><li>
Key analytical techniques, e.g. regression, clustering, decision trees, machine learning, text mining</li><li>
Analytical applications - R, Python, Scala, Hive, Spark, SQL</li><li>
BI experience (e.g., Power BI, Tableau)</li><li>
Digital data experience (e.g., Adobe Audience Manager)</li><li>
Bachelor or Masters degree in Artificial Intelligence, Machine Learning, Econometrics, Applied Statistics, Physics, Engineering, Mathematics or related field.</li></ul><p><b>
Find your place at</b><b><i> flybuys</i></b><b>:</b></p><p>
We know that a big part of what makes <b><i>flybuys</i></b> such a fantastic place to work is that we live our values of being generous, passionate, relevant, united and doing the right thing every day.</p><p>
Ready to find your place?</p><p>
We’re always on the lookout for passionate people to join our team.</p><br/>
<div>
Video</div></div></div></div>",
50,Business Analyst - Data and Analytics,Alloc8 Recruitment Solutions Pty Ltd,Sydney NSW 2000,none,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW 2000</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Permanent</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p>Alloc8 - The Data Talent Specialists - Present a permanent opportunity working for one of Australia's most reputable companies.</p><br/>
<p></p>
<p>The company in question has a broad range of service offerings through Utilities, Banking, Agriculture, Property and Digital and can boast a culture that's progressive, supportive and innovative.</p><br/>
<p></p>
<p>Working as a Business Analyst across Data and Analytics, you'll be part of a dedicated data team who drive insights to improve business and operational performance.</p><br/>
<p></p>
<p>In order to be considered we're looking for the following attributes:</p><br/>
<p></p>
<ul><li>At least 5 years experience working as a Business Analyst.</li>
<li>Strong communication and business engagement skills with the ability to work with technical and non technical stakeholders when gathering requirements.</li>
<li>Experience working in an Agile environment.</li>
<li>Proven capabilities in a Data and Analytics Business Analysis role.</li>
<li>Technical acumen across core SQL, Data Warehousing, Advanced Analytics and Data Visualisation.</li>
<li>Comfortable and experienced in large, complex end - user environments.</li>
<li>Outstanding documentation skills.</li><br/>
</ul>
<p>
</p><p>This is a new role working on a range of high profile data initiatives and will see you exposed to a range of busienss units and stakeholders.</p><br/>
<p></p>
<p>For more information apply today to Alloc8, The Data Talent Specialists.</p></div></div></div>",Permanent
51,Hedge Fund Intern,Frame Funds Management,Sydney NSW,none,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Internship</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Frame Funds Management operates a multi-strategy, multi-asset hedge fund which implements strategies relating to changes in global monetary policy, currency markets, equity market valuations. The type of strategies we implement are a combination of momentum based trading, intra-day trading as well as swing trading.</p><p>We are offering two candidates the ability to gain exposure to a multi-asset hedge fund.</p><p>Successful candidates will experience:</p><p>- Qualitative research on global economic themes</p><p>- Develop quantitative market scans</p><p>- Developing trading algorithms using Java, C++, Python</p><p>- Develop portfolio risk models</p><p>- On-going performance attribution reporting</p><p>- Completing client documentation</p><p>- Reporting season preparation</p><p>During this internship, you will gain experience to a wide variety of areas within the funds management industry.</p><p>Upon successful completion of the internship, there is the potential to be offered a full time role.</p><p>You will require:</p><p>- University qualified</p><p>- Experience trading a personal portfolio or something similar</p><p>- 3+ years coding experience (either professionally or personally)</p><p>- A passion for finance</p><p>- Be able to work within a team environment</p><p>- Strong people skills</p><p>Job Type: Internship</p><p>Job Type: Internship</p><p>Education:</p><ul><li>Bachelor Degree (Required)</li></ul><p>Location:</p><ul><li>Sydney NSW (Required)</li></ul><p>Language:</p><ul><li>English (Required)</li></ul><p>Work Eligibility:</p><ul><li>The candidate can work permanently with no restriction on hours (Required)</li></ul><p>Benefits:</p><ul><li>Regular social events</li><li>Flexible work arrangements</li></ul></div></div>",Internship
52,Finance Business Analyst,Ingram Micro,Rosebery NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Rosebery NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>About Us:</b></p><p>
Ingram Micro helps businesses fully realize the promise of technology™ - helping them maximize the value of the technology that they create, sell or use. With its vast global infrastructure and focus on Cloud, Mobility, Technology Lifecycle, Supply Chain and Technology Solutions, Ingram Micro enables business partners to operate more efficiently and successfully in the markets they serve.</p><p><b>
About the Role:</b></p><p>
As the Finance Business Analyst, you are primarily responsible for working with stakeholders in the business on the monthly application and allocation of the general ledger within Hyperion Profit Cost Management (HPCM - An activity-based costing system).</p><ul><li>
Analyze customer and vendor profitability with the business owners such as ELT, GM’s , Product Managers, Sales and Finance</li><li>
Maintain data integrity among ERP’s and Reporting tools.</li><li>
Maintaining integrity of master tables, accuracy of inputs, validation of results and reporting.</li><li>
Maintaining the accuracy of information under different perspectives like GL, Profit Centre, LOB, Vendor, Customer.</li><li>
Review and allocate GTM cost and unallocated GP</li><li>
Review and allocate Back-office, Working Capital and Warehouse allocations</li><li>
Reconcile, review and validate QlikView P&amp;Ls</li><li>
Collaborate with other functional departments to review allocation methodology and determine if improvements can be implemented.</li></ul><p><b>
Key Competencies:</b></p><ul><li>
CPA/CA qualified or pursuing</li><li>
Ability to communicate with stakeholders at all levels</li><li>
SAP, SQL &amp; Hyperion preferred but not essential</li><li>
Intermediate to advanced excel skills</li><li>
Ability to translate complex financial data</li><li>
Excellent communication skills</li></ul><p><b>
On Offer:</b></p><p>
At Ingram Micro, we treat each other with dignity &amp; respect, providing an environment where you are always encouraged to be yourself. We are a collaborative team who like to challenge the status quo and constantly look for better ways to serve our colleagues &amp; customers. Some of our benefits include:</p><ul><li>
Genuine Career Progression Opportunities</li><li>
Ongoing Training &amp; Development</li><li>
Work alongside leading Vendors and industry professionals</li><li>
Competitive Remuneration Package</li><li>
Staff Purchase Policy &amp; Benefits Scheme</li><li>
Paid Birthday Leave</li></ul><p><b>
We believe our people are our most important asset which is why we endeavor to create a positive &amp; rewarding environment for our teams. If this sounds like something you want to be a part of click “Apply”.</b></p></div></div></div>",
53,Senior Pricing Analyst/Pricing Actuary,TAL,Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b><i>Senior Pricing Analyst/Pricing Actuary
</i></b></p><ul><li>On-site free gym
</li><li>Flexible work options available
<p></p><p>Welcome to This Australian Life.
</p><p></p><p>From the millions of Australians we protect, to those that make it happen every day at TAL, people really are what we’re all about.
</p><p></p><p>TAL needs people who represent our diverse Australian community. People who embrace our spirit and inspire confidence in their colleagues, customers and community. People who are passionate about making the most of the choices and options we provide. People who do what’s right, aim high, and work smart.
</p><p></p><p><b>About the Opportunity
</b></p><p></p><p>This is a very unique opportunity to be part of TAL’s Commercial Management pricing team supporting and leading a number of key strategic pricing initiatives across TAL’s Retail, Direct, Consumer and Alliances channels. This role will contribute to the successful pricing design and delivery of initiatives for new business and inforce business. The role provides immense exposure and learning opportunities at the largest provider of Individual Risk insurance in Australia.
</p><p></p><p>This role involves working in a highly collaborative environment with various part of the business by supporting the technical pricing and analysis of business opportunities. This will include articulating design solutions, performing data analysis, pricing model development, and working with both internal and external partners to grow business capabilities.
</p><p></p><p>The role will be well suited to a senior analyst with experience in the Australian market, or a newly qualified Actuary looking for the next challenge
</p><p></p><p><b>In this role you will be responsible for:
</b></p></li></ul><p></p><ul><li>Lead and drive pricing analysis and insight across a range of propositions for new and existing customers, ensuring that TAL’s Individual Risk products maintain the appropriate balance of market attractiveness, customer benefit and target profitability metrics
</li><li>Development of more advanced pricing techniques to complement existing processes, including regression modelling, clustering and a range of other data science approaches using both internal capabilities and external partners to support capability uplift
</li><li>Deliver on pricing initiatives across the Retail, Direct, Consumer and Alliances channels by:
<ul><li>developing and maintaining pricing models, including their incorporation into Valuation processes;
</li><li>preparing actuarial pricing reports and support of LPS320 advice where required; and
</li><li>performing the actuarial testing of the implementation (UAT) of new product and pricing initiatives on the Individual Life administration and quotation systems.
</li></ul></li><li>Obtain data from multiple sources to support research and the provision of pricing analysis, including external market information, business experts (medical and health officers, claims personnel etc.) and internal data
</li><li>Analyse claims, lapse and sales data in the setting of assumptions and premium rates and to assist with producing business insights design of business initiatives
</li><li>Conduct the financial analysis of potential market/product opportunities including the development of business cases in assessing commercial initiatives
<p></p><p><b>About You
</b></p><p></p><p><b>To be successful in this role you will have:
</b></p></li></ul><p></p><ul><li>Ability to solve complex problems and a natural desire to think laterally
</li><li>Minimum 3 years working experience in Life insurance in Australia (or overseas markets with similar products), with experience in either pricing or valuation
</li><li>Strong modelling capabilities and analytical skills
</li><li>Experience with a range of tools and applications including Prophet (strong skills preferable), R, SQL and VBA
</li><li>Completion of Part I and Part II Institute of Actuaries course (or equivalent) and currently undertaking Part III working towards full qualification. Newly qualified actuaries are also considered.
</li><li>Ability to think creatively and innovatively to deal with technical challenges
</li></ul><p>Ability to work and communicate effectively with others and manage stakeholders, including less technical colleagues
</p><p></p><p>Work is a big part of this Australian life, and we work hard to make it one of the best parts. We want our employees to work in ways that suits their life and the nature of their role, so they feel able to meet their work life commitments and support their wellbeing. Everyone’s welcome to work for us – regardless of their age, ethnicity, religion, sexual orientation, gender identity, intersex status or any disabilities they might be living with.
</p><p>We know it’s the people we work with and experiences we share that make work meaningful and fulfilling, and we’d love for you to be part of it.
</p><p></p><p>You don’t have to be an artist, adventurer, doer or dreamer, but it really helps.
</p><p></p><p>If you would like to apply or refer a friend please click on the relevant button below and follow the instructions.</p></div></div></div>",
54,Data Analyst,Motion Recruitment,Sydney NSW,none,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Permanent</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div></div><div><div><div><div><p>Applying for jobs can be tough. Looking for the right role thats going to jump start your career can be even tougher - those opportunites don't exactly come around every day. Today however, is one of those days. My client can be considered an international titan in the marketing and media space. They're looking for an extraordinary data analyst with Tableau and SQL skills who is ready to elevate their skills and credibility in the world of analytics.<br/>
<br/>
<br/>
<b>About the role:</b><br/>
<br/>
It's exactly how it sounds, you'll be part of the data &amp; analytics team. They take care of the following functions:</p>
<ul>
<li>Analyzing both large and small amounts of data from a wide variety of sources and channels.</li>
<li>Maintainenance and development of the company's planning tools and support planning in the event of problems with these tools.</li>
<li>You support your team in modeling projects, for example in gathering and structuring the data, in setting up the model and deriving strategic planning recommendations.</li>
<li>Your other areas of activity include advertising impact studies, KPI forecasts, analytical support for new business and the creation of dashboards to visualize results.</li>
<li>You work very closely with the specialist teams in the areas of programmatic, search, social, mobile and AdTech.</li>
</ul>
<p><b>Skills to Succeed:</b><br/>
<br/>
To be the perfect fit for this role, we'll be looking for the following:</p>
<ul>
<li>1-4 years experience within Data Analytics</li>
<li>Teriary qualifications in relevant fields to marketing and/or analytics</li>
<li>Demonstrated experience using <b>SQL</b></li>
<li>An understanding and experience using <b>Tableau</b> as a visulaisation tool</li>
<li>The ability to be open-minded and work in a team environment (you'll be working with various stakeholders).</li>
</ul>
<p>To apply, be sure to submit your CV. For any more information, get in touch with Isaac on 0401 481 118!</p></div></div></div></div><p></p></div></div>",Permanent
55,Data Engineer (Mandarin Speaking),Access Corporate Group,North Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">North Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>About us</b></p><p>Founded in Australia in 2017, Access Corporate Group (Access) is an innovative cross-border brand management group with offices in Sydney, Melbourne and Hangzhou, China and more than 600 employees globally. At present, Access manages more than 20 brands and is committed to building a bridge for direct communications between quality brands and consumers around the world. Access is devoted to bringing global leading brands in health, beauty, and lifestyle to consumers to lead a better life every day.</p><p><b>Your day to day activities will be</b></p><ul><li>Write and execute SQL queries for data analysis preparation</li></ul><ul><li>Work closely with Business Analysts, identify business key metrics to help performance measurements</li><li>Work closely with China team to help building on-going data warehouse architecture and business intelligence deploys process.</li><li>Ensure data quality, integrity, and usability develop the foundation of data dictionary. Drive data culture in organization, help create data learning community.</li></ul><p><b>Key Requirements</b></p><ul><li>1-3 years working experience in business environment</li><li>Experience in data warehouse project, understanding of metadata management</li><li>Proficient in SQL VBA Hive SQL Python, understanding of data warehousing tools, experience in data lineage analysis.</li><li>Experience in business intelligence, data visualization. Knowledge of Tableau Power BI.</li><li>Strong organization and communication skills.</li></ul><p>Job Type: Full-time</p></div></div>",
56,Specialist Solutions Architect / Data Analyst,Rio Tinto,Brisbane QLD 4001,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Brisbane QLD 4001</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>Specialist Solutions Architect / Data Analyst</b></p>
<ul><li>Great opportunity to join a global organisation at the forefront of mining</li>
<li>Excellent work environment where people are valued and respected</li>
<li>Based in Brisbane</li>
</ul><p><b>About the role</b></p>
<p>We are looking for a <b>Specialist Solutions Architect /Data Analyst</b> to develop and deploy solutions across Rio Tinto's technical data governance and data quality toolsets.</p>
<p>This role is a great opportunity to design and develop enterprise-scale data quality and remediation solutions on an established industry platform for one of the world’s iconic resources companies. Reporting to the Principal Adviser – Data Quality Services, you will:</p>
<ul><li>Ensure that all technical systems are functioning as per agreed requirements</li>
<li>Work with the team to ensure that all developments within these environments adhere to the design and development methodologies</li>
<li>Working with technical architects, provide thought leadership on the appropriate use and improvement of the environment.</li>
<li>Accountability for training/coaching and professional development of data quality practioners and analysts in our off-shore partners and teams</li>
<li>Ensure timely resolution of issues, risks and defects raised by the Data Management Architect and Business Users.</li>
</ul><p><b>About you</b></p>
<p>To be successfully considered for this role, you will have:</p>
<ul><li>Demonstrated experience of Syniti Data Stewardship Platform (DSP) modules</li>
<li>Advanced SQL development experience. MS SQL experience desirable.</li>
<li>Extensive experience with enterprise ETL, data quality and data management activities.</li>
<li>Knowledge of data analysis and analytics principles and practices</li>
</ul><p>It will also be beneficial if you have:</p>
<ul><li>Knowledge of core SAP ECC Components, HR expertise is desirable</li>
<li>Experience in rapid application development.</li>
<li>Ability to work across multiple businesses, in different time-zones and regions and diverse cultures</li>
</ul><p><b>Where you will be working</b></p>
<p>Rio Tinto Information Systems and Technology (IS&amp;T) operates across six key areas that enable better alignment with customer priorities, end-to-end accountability and flexibility to prioritise critical work.</p>
<p><b>About us</b></p>
<p><b><i>As pioneers in mining and metals, we produce materials essential to human progress.</i></b></p>
<p>Our long history is filled with firsts. We’ve developed some of the world’s largest and best quality mines and operations, and our people work in around 35 countries across six continents. Aluminium and copper, diamonds, gold and industrial minerals, iron ore and uranium: our materials make up the world around us. You’ll find them in smartphones, planes, cars, hospitals and throughout your home.</p>
<p><b>Creating an inclusive and diverse workforce</b></p>
<p>We are a diverse team of talented, enthusiastic individuals who foster a culture of inclusion. No matter how they may differ, our people share one thing in common. It’s a belief that work is more rewarding when we are accepted and valued for our differences, not judged by them. We all have something to contribute, and it’s this contribution that makes for a great organization and fulfilling career.</p>
<p><b>Apply today if you want to work with the latest technology and innovation, in an environment where we challenge you to drive positive change.</b><br/>
<br/>
Please note, in order to be successfully considered for this role you must complete all pre-screening questions.</p></div></div></div>",
57,Organisation & Methods Analyst,Drive Yello,Surry Hills NSW 2010,"$60,000 - $80,000 a year","<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Surry Hills NSW 2010</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Full-time, Permanent</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--salary icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">$60,000 - $80,000 a year</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Drive Yello is an Australian startup that has revolutionised how businesses deliver goods to their customers. The company provides digital technology solutions to businesses and independent couriers seeking work freedom. Yello has business partnerships with Woolworths some of the largest brands in Australia! We are a growing startup, which means we work hard and are serious about winning and having a great time.</p><p><b>About the role</b></p><p>The OM Analyst is responsible for the analysis of the organisation performance, tools/systems, processes, as well as the planning and executing projects to drive quality and efficiency of the organisation, clients, and of the production of services and products.</p><p>This role is a nice blend of Management, Technology, Strategy, Marketing and Operations, giving you the opportunity to work cross-functionally and to develop and acquire new skills every day. You are a customer champion within the organisation - living and breathing the customer experience - you will always bring methods to have positive outlooks in relation to production and customer satisfaction.</p><p><b>About you</b></p><p>You are methodical, proactive, driven and passionate, being able to transmit positive energy to stakeholders, individuals and groups in any context.</p><p>You’re a great communicator and great thinker, able to structure and break down problems to achieve quick effective solutions.</p><p>You’re comfortable with ambiguity, constant change and are a true problem-solver</p><p>You’re tech-savvy</p><p>You want to grow, learn and win (not necessarily in this order)</p><p><b>Main responsibilities</b></p><ul><li>Design and analyse work flow charts, processes, guides/manuals and reports, both internally and externally (clients)</li></ul><ul><li>Create roles to fit the organisation operating model, defining duties and job descriptions aligned with growth and platform’s supply and demand</li></ul><ul><li>Review existing procedures and propose changes to achieve quality and efficiency improvements</li></ul><ul><li>Draft documentation to support organisational change, including procedures and manuals</li></ul><ul><li>Implement projects for the adoption of change recommendations involving systems, methods, procedures, people and tools</li></ul><ul><li>Analyse the organisational performance, functions and production output and recommend initiatives accordingly</li></ul><ul><li>Consult with clients on matters involving organisational competencies, quality, product and service requirements, as well as implement the related projects</li></ul><ul><li>Maintain a close relationship with clients and users</li></ul><ul><li>Develop objectives, strategies and plans to improve customer experience and the efficient use of company’s resources</li></ul><ul><li>Analyse data in relation to systems and production, evaluate, propose and implement improvements on such systems and/or people competencies</li></ul><ul><li>Identify key value drivers and determine key performance indicators both for the organisation and clients</li></ul><p>*<br/><b>Requirements</b></p><ul><li>Master degree in Business, Engineering or similar</li></ul><ul><li>2-4 years of work experience in tech startups or consulting</li></ul><ul><li>Strong analytical and problem-solving skills, including Excel and SQL knowledge</li></ul><ul><li>Outstanding communication skills and ability to persuade people and groups</li></ul><ul><li>Passionate about tech and startups</li></ul><p>*</p><p>Job Types: Full-time, Permanent</p><p>Salary: $60,000.00 to $80,000.00 /year</p><p>Education:</p><ul><li>Masters Degree (Required)</li></ul></div></div>","Full-time, Permanent"
58,Senior Python Engineer,Cover Genius,Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><div><div>Cover Genius is an Australian insurtech with global reach. We distribute insurance products via well-known ecommerce brands using our bespoke policy creation platform, XCover.</div><div></div><br/>
<div>
XCover is a hyper-flexible platform that enables global ecommerce partners to sell relevant and targeted insurance policies to their customers in any vertical. We’re disrupting the hugely complex global insurance industry, and following significant series B investment we’re growing extremely quickly.</div><div></div><br/>
<div>
We’re on the lookout for Python Engineers who live and breathe Django to be a key part of the team building the XCover platform, which powers online product distribution for some of the world’s largest ecommerce websites.<br/>
</div><div></div><br/>
<div>The stack consists of Python/Django, React front-end, PostgreSQL and globally hosted on AWS. We're well into our microservices journey and building our products with globally scalability in mind, the complexity and challenges you'll tackle head on whist on our team, will be hard to find anywhere else.</div></div>
<div><div><h3 class=""jobSectionHeader""><b>You will</b></h3><div><ul><li>
Develop features quickly and see them used by millions</li><li>
Touch code at every level of the stack</li><li>
Be responsible for code quality, cleanliness and
</li><li>Work closely with our product and design teams to define feature specifications</li><li>
Work and thrive in a fast paced environment</li><li>
Work side-by-side with engineers at all levels from new graduates to industry veterans</li></ul></div></div></div>
<div><div><h3 class=""jobSectionHeader""><b>What skills do we think will translate to success?</b></h3><div><ul><li>
Strong recent Python Engineering experience (Django/Flask)</li><li>
Proficiency with testing frameworks and tools (we write a lot of them)</li><li>
Good experience with Linux and git should come without saying it loud</li><li>
Functional knowledge of relational databases (Postgres is preferred) and non relation databases (Mongo/Redis/ElasticSearch)</li><li>
Develop highly-scalable, low-latency APIs for large ecommerce partners</li><li>
Comfortable with agile development and startup environment</li></ul></div></div></div>
<div><div><b>Why Cover Genius?</b></div><div></div><br/>
<div>
Cover Genius not only cares about being the best in our industry, we care about our team. Some of the many benefits we have are:</div><div></div><br/>
<ul><li>Regular hackathons and tech talks</li><li>Stock options so you can share in the success of the business</li><li>More snacks than you'll ever be able to eat</li><li>Casual sports and fitness sessions every day of the week</li><li>Flexible working in a relaxed, inclusive and fun environment</li></ul><div></div><br/>
<div>
We know that excellence comes in many different forms, and we support everyone equally on their individual career journeys. You'll love working here, and will learn something new every day. Please feel free to share your resume and our TA team will be in touch.</div></div></div></div></div>",
