,job_title,company_name,location,job_desc,salary,position
41,Business Analyst - Data & Reporting,people2people,Sydney Central Business District NSW,"Sydney Central Business District NSWPermanent$85,000 - $95,000 a yearThis Australian owned company has moved from strength to strength within their sector. With a wide range of respected brands in their portfolio, they continue to take market and distribute their products throughout channels both in Australia and internationally. Offering a range of staff benefits, this business has a stable, motivated workforce who are passionate about their team and business.

Reporting to the FP&A Manager, this role partners the business supporting across finance, IT, sales and marketing. With an analysis and reporting focus you will involved budgets, forecasts, financial planning and monthly management reports. Data analysis and reconciliations, process improvement and system upgrades and implementations will also form part of your remit.

With relevant business or IT qualifications, you will bring advanced TM1/Cognos and Excel skills, time management and planning skills in order to thrive in this diverse role. Offering a range of financial and lifestyle benefits, this company will reward you for your contributions and success.

For a confidential discussion, please call Kirsten Garrett on 02 8270 9720.","$85,000 - $95,000 a year",Permanent
42,Data Migration Lead,Speller International,Melbourne VIC,"Melbourne VICThe Role
This role is working for an end user, they have recently acquired a new company and they are looking to amalgamate their legacy system into SAP. The role will be working on Manual Data (excel), cleanse and extraction. As the lead you will be interacting with the business to work on strategy, mapping and process. This is an exciting role in a project environment.
Role ResponsibilitiesLead end to end data migration from multiple legacy systems to new platform.Be responsible for the building data pipes to move, cleanse and enrich data using transformation tools.Partner with business to identify and implement data quality and reconciliation checkpoints.Work collaboratively with Downer’s IT departments, System Integrator / Application Vendor, the project team and the key stakeholdersBuild and maintain strong relationships with stakeholders to enhance business relationships and project deliveryManage the planning and execution of data migration efforts to meet committed delivery dates.
Skills RequiredMinimum 5+ IT Industry experience across a broad range of technology platformsMinimum 5 years experience in Data Migration and transformation with SAPProven experience in leading data migration teamsExperience in performing system data analysis and source to target data mapping.Demonstrated experience in data storage, data model and data migration issues in complex systems
How to Apply
Call Jack in our Melbourne Head office on 0393480092 or Apply through the Advertisement.",,
43,Data Analyst,Opus Recruitment Solutions,Melbourne VIC,"Melbourne VICContract4 month contract
Possible extension
Melbourne CBD

A creative, data driven consultancy are looking for a skilled Tableau Developer to work on a large scale visualization project for a major telco company in Melbourne.


This is a forward thinking consultancy who are passionate about their work. You will be joining a multi-disciplinary team who deliver solutions to their clients through technological innovation. You will be working in a supportive team environment which will enable you to up skill and develop your current skill set.


Responsibilities:

Work collaboratively with stakeholders to understand technical/business requirements, and to create innovative data reports, data outputs and data solutions
Identify, extract, analyse and asses data across varied data sets
Ensures data requests and outputs comply with Enterprise wide data governance standards
Actively seek continuous improvement, automation and maintenance of analytical tools, systems and operational processes
You will have experience with the following:

Developing Tableau dashboards
Alteryx
SQL
VBA
PowerShell scipting
Strong stakeholder maanagement skills

For further information on this role please send your cv to emily.ingram@opusrs.com.au or call 02 80890144.",none,Contract
44,Senior Data Scientist,Northbridge IT Recruitment Propr,Melbourne VIC 3000,"Melbourne VIC 3000Contract$140,000 - $155,000 a yearMelbourne CBD
SaaS Tech Start Up
Data Science | Machine Learning | Artificial Intelligence


We're looking for Data Scientists that want to be the best of best, who want to push their technical skills and work on a leading SaaS platform supporting some of Australia's most exciting companies.


Sound exciting? Get in touch!


Northbridge has been engaged by an exciting new tech start-up that is looking for Data Scientists that can work in both a technical and client-facing capacity.

What will you need?

The following is what a data scientist is expected to bring to the table:
4+ years of relevant experience in Data Science
MS/PhD in Math, Statistics, Computer Science, Physics, Bioinformatics or another quantitative field
Proven experience in translating business challenges into data pipelines & model framework
Customer facing experience and excellent presentation and communication skills
Experience with Machine Learning techniques (classification, regressions, feature engineering etc.)
Programming skills that allow you to be self-sufficient in handling data (Python, SQL)
In addition, any experience with the following techniques is an advantage! But don't stress, if you don’t, you’ll learn cool stuff.
Functional Programming - Scala
Working with large datasets and distributed computing - Hadoop and (Py)Spark
Access through visualisation - Tableau and PowerBI
ETL and data engineering - Airflow and PostGreSQL (or other SQL RDBMSs)
If this sounds like you, you can (confidentially) apply using the Apply for this Job button below. I will contact you prior to releasing your details to the client.

Callum Runnegar-Mundy
Principal Consultant | Account Manager - Northbridge IT Recruitment
(03) 9988 0870
Callum@nbridge.com.au

For this and other opportunities please visit:
http://www.northbridgerecruitment.com/content/OpenVacancies

Only shortlisted candidates will be contacted. SPONSORSHIP IS NOT AVAILABLE for this role. Australian PR or Citizenship is required.","$140,000 - $155,000 a year",Contract
45,Data Analyst - experienced (Brisbane),Aginic,Brisbane QLD,"Brisbane QLD$50,000 - $60,000 a yearAt Aginic, a group of the country’s brightest data analysts, engineers, delivery coaches, designers, and cloud technicians blend their technical skills with a desire to help.
We transform complex information into purposeful insight. That’s just the start of the journey. We have a team of talented individuals that can provide services in data analytics, cloud technology, adaptive delivery and design.
About the role
As an Analyst at Aginic, you'll perform data analytics and visualisation for a range of clients, from state health departments to major retailers. You’ll work with stakeholders to understand what information they need to run their business, and develop dashboards or reports to make data accessible to them in a timely and intuitive way.
Your day-to-day work will involve a range of different technologies. On one project, you may perform data modelling and ETL using SQL and SSIS, then develop dashboards for end users using Qlik or Tableau. On another project, you may build predictive models using R; improve scalability and performance through cloud technologies; or automate tasks and data flows using Microsoft Flow, PowerApps and PowerBI.
Requirements

Skills and Experience:
You have demonstrated experience as a Data Analyst
You have experience working as a consultant either in a Big 4 or a boutique firm
Experience in the health, education or energy sector will be highly regarded
You have an interest or experience with web development, security, cloud or system administration

Technical capabilities:
Ability to build for purpose in the following technologies:
Power Bi
Qlik
Tableau
R
SQL
Alteryx
SSIS
SSAS
Have familiarity with
SAP
About you
You’re smart, innovative and always learning new things.
You're known for your technical excellence.
You're naturally curious and this drives you to research, experiment and deduce your way to knowledge.
You critically reflect on your own processes and challenge assumptions about how things should be done, exploring solutions that others might not consider.
You know that attention to detail makes a product great, but you're pragmatic and you keep the bigger picture in mind.
You love creating things and you've been involved in a bunch of cool projects that you're excited to talk about and show.
You're approachable, dependable and genuine and you care about getting to know people.
You're happy working solo but prefer to be part of a dynamic team.
You can adapt your verbal and written communication for highly technical or business focused conversations, and build relationships with clients to truly understand what they need from you.","$50,000 - $60,000 a year",
46,data engineer,Randstad,Melbourne VIC,"Melbourne VICTemporaryData Engineer
We are looking for a Data engineer for an initial 6 month contract based in the CBD. You will be working as part of a growing team on some interesting projects with a leading, global organisation.
We are looking for people with experience in the following
Hadoop

Streaming or FlinkAPI and cloud-native architectureDocker, KubernetesExpertise in programming (e.g. Core Java, Python and Scala programming)Excellent analytical skills and proven track record solving difficult problemsExperienced in Agile / Scrum projectsDesign, develop and implement solutions to customers organisational problemsProvide high quality service delivery on engagementsExperience with design and developing data reconciliation & metadata driven data processing frameworks.
This role will be moving very quickly and we are looking for people who can ideally start within the next 2 weeks.
If you would be interested in hearing more please submit your resume using the link below
At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.",none,Temporary
47,Senior Data and Solutions Lead Architect,Mansell Taylor Consulting Pty Ltd,Brisbane QLD 4000,"Brisbane QLD 4000ContractWe are seeking a Senior Data and Solutions Lead for a Government contract role, you will be responsible for leading and providing effective data, information, transition and solution design and implementation for the project.

Experience:
5+ years of relevant experience in architecture
Extensive experience in data and information management, including data migrations, data standards and cleansing activities
Knowledge and experience with interoperability, business analytics, portals and process automation
Ability to define solutions to solve large scale, complex business problems with high resiliency, scalability, performance and concurrency requirements
Role Duties:
Deliver high-quality architecture designs and solutions for Project and effectively communicate designs and solutions in multiple forums and to various audiences including technology and business executives.
Work on multiple projects utilizing waterfall and agile methodologies to provide target-state solutions that best fit the business requirements and align to enterprise goals
Create and maintain the target application architecture and blueprints along with strategic roadmaps
Maintain reference architecture, defining information and data components and models, application components, platforms, interfaces, and development tools
Work up product descriptions and deliver the build of products in accordance
Develop system design and work with vendors, database, operations, technical support and other IT areas as appropriate throughout development and implementation processes
Highly Desirable Qualifications- Although not mandatory
AWS and Azure cloud environments.
Directory Services and Identity Management.
Web application development tools.
Web application security and web application firewalls.
Enterprise Service Bus technologies.
Service Orientated Architecture (SOA)
Software-as-a-service (SaaS)
Platform-as-a-service (PaaS)
Infrastructure-as-a-service (IaaS)
Awareness of TOGAF
To be considered for this role you must possess a Drivers license and the right to work in Australia.",none,Contract
48,AWS Senior Data Engineer- Melbourne - Financial Services - Negotiable Rates,Total Resource Solutions,Melbourne VIC,"Melbourne VICContractSenior AWS Data Engineer
6 Month Initial Contract
Large Banking Client


Senior AWS Data Engineer

TRS is proud to be working with this iconic brand on a new flagship enterprise Cloud Migration project within the Financial Services Sector.

Key responsibilities
Experience in Hadoop Stack such as: Hive, Spark (Core and Streaming), Kafka, Flink, NIFI etc.Experience working on stream transform using Spark Streaming or FlinkWorking on change data capture in big data ecosystemBuilding real time or batch ingestion and transformation pipelines.Good to have Background in API and cloud-native architectureExperience with ‘container’ technology (e.g. Docker, Kubernetes)Programming (e.g. Core Java, Python and Scala programming)Wrangling data using library such as Pandas, Scikit-learn or NumpyExperience using notebook such as Jupyter or PolyglotTest-driven development, test automation & continuous delivery Experience in Java build automation technologies such as Gradle, Maven, Integration with Sonarqube etc Experience supporting a production service in a DevOps friendly environmentExperienced in Agile / Scrum projectsDesign, develop and implement solutions to customers organisational problemsProvide high quality service delivery on engagementsExperience with design and developing data reconciliation & metadata driven data processing frameworks.Seen by client as an “adviser” who can contribute to a broad range of strategic, operational and budget decisions central to the client’s strategy and priorities",none,Contract
49,Data Entry Clerk,Admin Corp Services,Pennant Hills NSW 2120,"Pennant Hills NSW 2120Casual$20 - $25 an hourAbout this role: Accurately input customer enquiries and details into our customer relationship management softwareAccuracy, proficiency and attention to detail a mustTechnologically proficient; therefore familiar and able to use Microsoft Excel, Word, Outlook and able to use Facebook, Instagram and other social media platformsGood communication skills to understand procedures and processes of the data entry roleMust be at least intermediate with Excel15 - 20 hours per week with flexible working times and days to suit Uni Student, parents of school age children or other flexible arrangements.The role is based in Thornleigh with ample public transport availableGood organisation and interpersonal skillsJob Type: CasualSalary: $20.00 to $25.00 /hourExperience:data entry: 1 year (Required)Language:clear verbal comunication (Required)Work Eligibility:The candidate can work permanently with no restriction on hours (Required)Benefits:Flexible work arrangements",$20 - $25 an hour,Casual
50,Data Cabling Technician,QVR Communications Pty Ltd,Artarmon NSW,"Artarmon NSW$30 an hourJob DescriptionQVR Communications are looking for a Data Cabling Technician to join an expanding team. The specialist will play an integral part of the business working on commercial / education / health sector style projects. This is an exciting opportunity for the right person to grow and develop with the business.ResponsibilitiesDay to day operations of commercial projectsInstalling data cabling including Cat6, Cat6A, Cat7, fibre optics, single and multi-mode fibre.Ability to use Test equipment for both Copper and FibreDelivery of projects on time and on budgetOrganising and working in with sub-contractorsIdentify problems on site and have the capability to come up with solutions.QualificationsACMA Licence (Open Registration Licence)White CardEWP LicenceWWC3 years Experience of Data CablingBenefitsLong term employmentOpportunity to grow and develop their skillsJob Type: Full-timeSalary: $30.00 /hourExperience:Data Cabling: 3 years (Preferred)Licence:White Card (Preferred)ACMA (Preferred)",$30 an hour,
51,Educational Data Analyst,University of New South Wales,Sydney NSW,"Sydney NSW$95,000 - $103,000 a yearJob no: 499107
Work type: Fixed term / Full time
Location: Sydney, NSW
Categories: Information Technology

 Educational Data Analyst
DVC Academic
PVC Education Portfolio
One of Australia’s leading research & teaching universities
Vibrant campus life with a strong sense of community & inclusion
Enjoy a career that makes a difference by collaborating & learning from the best

At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.

The Division of the Deputy Vice-Chancellor (Academic) is a large portfolio covering a wide range of activities supporting the student experience, the needs of academic staff and international operations. Within the DVC(A) Division, the Pro Vice-Chancellor (Education) Portfolio provides leadership in the development and implementation of UNSW Sydney’s strategic initiatives in learning and teaching. The initiatives focus on educational design, development, delivery and evaluation, integrating technology and expanding the University’s online learning offerings, providing academic development support and services, and promoting teaching excellence through the UNSW Scientia Education Academy and the Education Focussed Academics. The Portfolio works collaboratively with the faculties, schools and divisions to implement the 2025 Strategic Plan and drive enhancements to the student experience and success. It is involved in the design of effective learning environments, promotes Work Integrated Learning initiatives, provides academic skills support to students, and strengthens their career and employability prospects through a range of programs and services.

About the role

$95K-$103K (plus 9.5% superannuation)
Fixed Term (9 months)
Full-time (1FTE, 35hrs p/week)

The Educational Data Analyst will support the management of educational data and reporting, including transformation processes, identifying trends in data sets, developing graphs, and data dashboards for reporting purposes, extending the analytical capacity within the PVC(E) Portfolio for the effective reporting of learning and teaching data to all stakeholders. The role is also responsible for providing analytical expertise with actionable insight to support the evaluation and reporting of learning and teaching projects and programs across the PVC(E) Portfolio and will document processes, protocols and business rules to evaluate the delivery of tools and services in liaison with various stakeholders.


The Educational Data Analyst will work collaboratively with PVC(E) staff within a multidisciplinary team including academic, technical and non-technical roles, and Data Scientists (EI&A), as well as Students as Partners assistants to develop and implement innovative solutions and products to enhance the student experience.

About the successful applicant

To be successful in this role you will have:

Postgraduate qualifications in an area of study relevant to analytics or evaluation; or an equivalent combination of extensive and relevant experience and/or training.
Good knowledge of working with data: data structures, data representation, data cleaning, data governance, and database design.
An understanding of database structures and SQL and ‘big data’ extraction and preparation for analysis.
Fluency in using scientific computing languages like R, Python, SAS and familiarity with analytical/visualisation tools (SPSS, SAS, RapidMiner, Tableau, Power BI).
Demonstrated knowledge and experience in databases and data structures (e.g. SQL, JSON, XML and scripting).

 PD - Educational Data Analyst - L7.pdf

You should systematically address the selection criteria listed within the position description in your application. Please apply online - applications will not be accepted if sent to the contact listed.

Contact:

Kim Symons, Talent Acquisition Consultant

P: 9385 0670

E: k.symons@unsw.edu.au

Applications close: 5th March before 11pm

Position Description

Advertised: 13 Feb 2020 AUS Eastern Daylight Time
Applications close: 05 Mar 2020 AUS Eastern Daylight Time","$95,000 - $103,000 a year",
52,Master-data Administrator - Greystanes,Hitachi Construction Machinery,Greystanes NSW,"Greystanes NSWAbout Us
Hitachi Construction Machinery Australia (HCA) is a global brand providing a variety of mining and construction machinery for customers. At the heart of our business and trusted and reliable equipment lies a team of talented and dedicated people committed to providing industry-leading machinery and support solutions.
About the Role
With strong growth in our parts business, our Corporate Support Group based in Greystanes has an exciting opportunity for an experienced and motivated individual to join our Parts team in the position of Master-data Administrator. Your main objective would be to provide day to day administration support and to be the subject matter expert on parts setup including supply chain structure and pricing.
Reporting to the National Parts Procurement and Logistics Manager your other responsibilities will include:
Establish new parts in our ERP system.
Maintain our contract pricing in line with policy levels.
Update parts pricing and margins.
Create and distribute various monthly reports as requested and required.
Maintain a good working relationship with customers, peers and other departments.
To be successful in this role, you will need:
Safety Conscious: A strong, developed awareness and commitment to personal and peer health and safety.
Experience & Skillset: Demonstrated knowledge and previous experience within a parts or catalogue maintenance environment.
Computer literacy: Confident computer literacy skills and accurate data management. Experience with Microsoft Dynamics and advanced Excel skills would be highly regarded.
Analytical thinking: Some ability to manipulate and interpret data, with a keen eye for detail and ability to initiate change
Autonomous productivity: A self-driven initiative to plan work fronts efficiently and effectively to deliver Hitachi’s promise of Total Customer Satisfaction.
HCA also offers:
Competitive salary
Safe working conditions
Supportive management and team
Free on-site parking

Video",,
53,Academic Administrative Assistant - Data Entry and Timetabling,Canberra Grammar School,Canberra ACT,"Canberra ACTFull-time, Part-time$71,238 - $76,698 a yearApplications are invited for the position of:

Academic Administrative Assistant – Data Entry and Timetabling

School Section: Primary School, Red Hill Campus

Reports to: Deputy Head of Primary School

Employment Basis: Full-time Ongoing

Part-time Non-ongoing

About the School
Canberra Grammar School is an Independent Anglican School offering outstanding academic education, co-curricular

opportunities and pastoral care to day and boarding students of all backgrounds and faiths within a community guided

by Christian values.

The School is fully co-educational from Pre-School to Year 12.

The School respects and nurtures all students as individuals, seeking to inspire, support and celebrate the efforts of all in

realising their intellectual, spiritual, cultural, social and physical aspirations.

Building on the professional expertise of its staff, the commitment of its community and the resources of the nation’s

capital, Canberra Grammar School aims to be the most dynamic and distinctive centre of learning in Australia.

CGS is a vibrant and rewarding place in which to work. To find out more about our strong commitment to professional

development, the employment process, or living in Canberra, please visit CGS.ACT.EDU.AU/EMPLOYMENT

Further information about the School is available at CGS.ACT.EDU.AU

The Role
The role of the Academic Administrative Assistant – Data Entry and Timetabling is to provide support for the

Academic Office and to assist with timetabling of the Primary School.
Duties
Administrative duties are:
Manage the primary school timetable using Timetabling Solutions software and Daily Organiser to assist with
staffing
Assist with the allocation of new students into classes and HousesWork closely with the Academic Team to assist with the organisation of excursions, risk assessments and other
tasks as required.
Manage and maintain the Primary School Calendar and attend relevant meetings regarding school events and
calendar management.
Provide general administrative support and assistance to the Academic TeamMaintain student records for PrimaryAssist and train teaching assistants in record keeping processes
provide administrative assistance with:the production of assessment schedulesthe coordination of NAPLAN and ACER testingliaise with counterparts in the Senior Schoolundertake other duties as required.

Selection Specifications
This role requires:
An analytical approach to problem solving, finding patterns and applying sequential approach to tasks.Knowledge or experience with timetable development and maintenance.
An ability to organise work flow and prioritise
Experience in a similar role.Advanced working knowledge of the Microsoft Office suiteWell-developed communication skills and attention to detailAn understanding of the sensitive and confidential matters involved in the roleThe ability to deliver within tight time frames and manage competing priorities
A commitment to working collaboratively with others and assuming the shared responsibilities for the various
administrative tasks within the Academic Office.

The ability to work independently, intuitively and flexiblyThe ability to establish professional and supporting relationships with students, parents, staff and the School
community.

The role-holder must:
Comply with the School’s Code of Conduct and with the School’s policy and regulatory requirements
Respect and uphold the School’s Anglican values and ethos, while also respecting people of all backgrounds
and faiths within the School community.
Hold a current First Aid certificateHold a current WWVP card.

Terms and Conditions
This role is full-time, ongoing position

Classification and Salary

Canberra Grammar School is a respondent to the Independent Schools ACT (Support & Operational Staff) Multi-
Enterprise Agreement 2017. A copy of the Agreement is available from the Human Resources Manager.

This position is classified as a Clerical Officer Level 3. The salary range is $71,238 - $76,698 per annum (based on

skills and experience) plus superannuation of 11.5% and leave entitlements (in accordance with the Agreement).
Child Protection

The School is committed to safeguarding and promoting the safety, welfare and wellbeing of children and young people

and expects all staff and volunteers to share this commitment.

All employees of the School must be eligible to work with children in accordance with ACT Working with Vulnerable

People checks, and all teachers at the School must have teacher registration, provisional registration or a permit to teach

issued by the ACT Teacher Quality Institute prior to starting their employment.

Applications and Information
All applications must be submitted using the School's online application form, located on the job advert on

CGS.ACT.EDU.AU.

For further information, please contact the Human Resources Office via:
employment@cgs.act.edu.au+61 (2) 6260 9735The HR Office, Canberra Grammar School, 40 Monaro Crescent, Red Hill ACT 2603 Australia","$71,238 - $76,698 a year","Full-time, Part-time"
54,Senior Data Analytics Consultant,RACQ,Eight Mile Plains QLD 4113,"Eight Mile Plains QLD 4113Senior Data Analytics Consultant(Job Number: 190000VF)
Description

Want to be part of a Queensland company that truly makes a difference? Join the RACQ Analytics team in this full-time, permanent opportunity. Your work will help to inform business decisions so that we can enable our frontline teams to deliver outstanding customer service to our 1.8 million members.

As a data engineer the key responsibilities will be to gather, structure and analyse data in an AWS environment using a broad range of technologies. You will design and develop data-driven strategies and analytics solutions to improve member experience outcomes across the RACQ Group. You will also be provided with opportunities to showcase your work directly to the broader Analytics team.

This role is based at our main offices located at Eight Mile Plains.

Desired Skills & Experience:
Experience in AWS products, e.g. Redshift, S3, etc.
Experience in the development and presentation of analytic solutions using a range of tools, including, but not limited to, SQL (or equivalent database query language), Python, Cognos, TM1, Tableau, and R.
Excellent written and verbal communication skills, including ability to explain complex issues in plain terms
Demonstrated interpretation, problem-solving and decision-making skills
Ability to think outside the box and identify continuous improvement opportunities
Willingness to learn and apply initiative
RACQ is as much a part of Queensland as our people. Together we exist to make life better for each other, our members and every Queenslander, through finding better and smarter ways of doing things. With almost 2 million members, we’re big enough to make a real difference in our community, yet small enough to nurture your professional and personal development.

Working at RACQ brings some great benefits including onsite parking, staff gym and café, free Roadside Assistance and significantly discounted RACQ products and services, for you and your family.

Ready to apply? You’ve got this.

Please Note: we do not accept third party or emailed applications. You may be required to complete video interviews, psychometric testing, a medical and/or criminal history check as part of the application process.

Questions? Please contact michaela.marks@racq.com.au or visit www.racq.com.au/about/careers/our-recruitment-process
#L1-MM1

Work Locations

Eight Mile Plains 2649 Logan Road Eight Mile Plains 4113",,
55,Data Cabling Technician,QVR Communications Pty Ltd,Artarmon NSW,"Artarmon NSW$30 an hourJob DescriptionQVR Communications are looking for a Data Cabling Technician to join an expanding team. The specialist will play an integral part of the business working on commercial / education / health sector style projects. This is an exciting opportunity for the right person to grow and develop with the business.ResponsibilitiesDay to day operations of commercial projectsInstalling data cabling including Cat6, Cat6A, Cat7, fibre optics, single and multi-mode fibre.Ability to use Test equipment for both Copper and FibreDelivery of projects on time and on budgetOrganising and working in with sub-contractorsIdentify problems on site and have the capability to come up with solutions.QualificationsACMA Licence (Open Registration Licence)White CardEWP LicenceWWC3 years Experience of Data CablingBenefitsLong term employmentOpportunity to grow and develop their skillsJob Type: Full-timeSalary: $30.00 /hourExperience:Data Cabling: 3 years (Preferred)Licence:White Card (Preferred)ACMA (Preferred)",$30 an hour,
56,Educational Data Analyst,University of New South Wales,Sydney NSW,"Sydney NSW$95,000 - $103,000 a yearJob no: 499107
Work type: Fixed term / Full time
Location: Sydney, NSW
Categories: Information Technology

 Educational Data Analyst
DVC Academic
PVC Education Portfolio
One of Australia’s leading research & teaching universities
Vibrant campus life with a strong sense of community & inclusion
Enjoy a career that makes a difference by collaborating & learning from the best

At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.

The Division of the Deputy Vice-Chancellor (Academic) is a large portfolio covering a wide range of activities supporting the student experience, the needs of academic staff and international operations. Within the DVC(A) Division, the Pro Vice-Chancellor (Education) Portfolio provides leadership in the development and implementation of UNSW Sydney’s strategic initiatives in learning and teaching. The initiatives focus on educational design, development, delivery and evaluation, integrating technology and expanding the University’s online learning offerings, providing academic development support and services, and promoting teaching excellence through the UNSW Scientia Education Academy and the Education Focussed Academics. The Portfolio works collaboratively with the faculties, schools and divisions to implement the 2025 Strategic Plan and drive enhancements to the student experience and success. It is involved in the design of effective learning environments, promotes Work Integrated Learning initiatives, provides academic skills support to students, and strengthens their career and employability prospects through a range of programs and services.

About the role

$95K-$103K (plus 9.5% superannuation)
Fixed Term (9 months)
Full-time (1FTE, 35hrs p/week)

The Educational Data Analyst will support the management of educational data and reporting, including transformation processes, identifying trends in data sets, developing graphs, and data dashboards for reporting purposes, extending the analytical capacity within the PVC(E) Portfolio for the effective reporting of learning and teaching data to all stakeholders. The role is also responsible for providing analytical expertise with actionable insight to support the evaluation and reporting of learning and teaching projects and programs across the PVC(E) Portfolio and will document processes, protocols and business rules to evaluate the delivery of tools and services in liaison with various stakeholders.


The Educational Data Analyst will work collaboratively with PVC(E) staff within a multidisciplinary team including academic, technical and non-technical roles, and Data Scientists (EI&A), as well as Students as Partners assistants to develop and implement innovative solutions and products to enhance the student experience.

About the successful applicant

To be successful in this role you will have:

Postgraduate qualifications in an area of study relevant to analytics or evaluation; or an equivalent combination of extensive and relevant experience and/or training.
Good knowledge of working with data: data structures, data representation, data cleaning, data governance, and database design.
An understanding of database structures and SQL and ‘big data’ extraction and preparation for analysis.
Fluency in using scientific computing languages like R, Python, SAS and familiarity with analytical/visualisation tools (SPSS, SAS, RapidMiner, Tableau, Power BI).
Demonstrated knowledge and experience in databases and data structures (e.g. SQL, JSON, XML and scripting).

 PD - Educational Data Analyst - L7.pdf

You should systematically address the selection criteria listed within the position description in your application. Please apply online - applications will not be accepted if sent to the contact listed.

Contact:

Kim Symons, Talent Acquisition Consultant

P: 9385 0670

E: k.symons@unsw.edu.au

Applications close: 5th March before 11pm

Position Description

Advertised: 13 Feb 2020 AUS Eastern Daylight Time
Applications close: 05 Mar 2020 AUS Eastern Daylight Time","$95,000 - $103,000 a year",
57,Academic Administrative Assistant - Data Entry and Timetabling,Canberra Grammar School,Canberra ACT,"Canberra ACTFull-time, Part-time$71,238 - $76,698 a yearApplications are invited for the position of:

Academic Administrative Assistant – Data Entry and Timetabling

School Section: Primary School, Red Hill Campus

Reports to: Deputy Head of Primary School

Employment Basis: Full-time Ongoing

Part-time Non-ongoing

About the School
Canberra Grammar School is an Independent Anglican School offering outstanding academic education, co-curricular

opportunities and pastoral care to day and boarding students of all backgrounds and faiths within a community guided

by Christian values.

The School is fully co-educational from Pre-School to Year 12.

The School respects and nurtures all students as individuals, seeking to inspire, support and celebrate the efforts of all in

realising their intellectual, spiritual, cultural, social and physical aspirations.

Building on the professional expertise of its staff, the commitment of its community and the resources of the nation’s

capital, Canberra Grammar School aims to be the most dynamic and distinctive centre of learning in Australia.

CGS is a vibrant and rewarding place in which to work. To find out more about our strong commitment to professional

development, the employment process, or living in Canberra, please visit CGS.ACT.EDU.AU/EMPLOYMENT

Further information about the School is available at CGS.ACT.EDU.AU

The Role
The role of the Academic Administrative Assistant – Data Entry and Timetabling is to provide support for the

Academic Office and to assist with timetabling of the Primary School.
Duties
Administrative duties are:
Manage the primary school timetable using Timetabling Solutions software and Daily Organiser to assist with
staffing
Assist with the allocation of new students into classes and HousesWork closely with the Academic Team to assist with the organisation of excursions, risk assessments and other
tasks as required.
Manage and maintain the Primary School Calendar and attend relevant meetings regarding school events and
calendar management.
Provide general administrative support and assistance to the Academic TeamMaintain student records for PrimaryAssist and train teaching assistants in record keeping processes
provide administrative assistance with:the production of assessment schedulesthe coordination of NAPLAN and ACER testingliaise with counterparts in the Senior Schoolundertake other duties as required.

Selection Specifications
This role requires:
An analytical approach to problem solving, finding patterns and applying sequential approach to tasks.Knowledge or experience with timetable development and maintenance.
An ability to organise work flow and prioritise
Experience in a similar role.Advanced working knowledge of the Microsoft Office suiteWell-developed communication skills and attention to detailAn understanding of the sensitive and confidential matters involved in the roleThe ability to deliver within tight time frames and manage competing priorities
A commitment to working collaboratively with others and assuming the shared responsibilities for the various
administrative tasks within the Academic Office.

The ability to work independently, intuitively and flexiblyThe ability to establish professional and supporting relationships with students, parents, staff and the School
community.

The role-holder must:
Comply with the School’s Code of Conduct and with the School’s policy and regulatory requirements
Respect and uphold the School’s Anglican values and ethos, while also respecting people of all backgrounds
and faiths within the School community.
Hold a current First Aid certificateHold a current WWVP card.

Terms and Conditions
This role is full-time, ongoing position

Classification and Salary

Canberra Grammar School is a respondent to the Independent Schools ACT (Support & Operational Staff) Multi-
Enterprise Agreement 2017. A copy of the Agreement is available from the Human Resources Manager.

This position is classified as a Clerical Officer Level 3. The salary range is $71,238 - $76,698 per annum (based on

skills and experience) plus superannuation of 11.5% and leave entitlements (in accordance with the Agreement).
Child Protection

The School is committed to safeguarding and promoting the safety, welfare and wellbeing of children and young people

and expects all staff and volunteers to share this commitment.

All employees of the School must be eligible to work with children in accordance with ACT Working with Vulnerable

People checks, and all teachers at the School must have teacher registration, provisional registration or a permit to teach

issued by the ACT Teacher Quality Institute prior to starting their employment.

Applications and Information
All applications must be submitted using the School's online application form, located on the job advert on

CGS.ACT.EDU.AU.

For further information, please contact the Human Resources Office via:
employment@cgs.act.edu.au+61 (2) 6260 9735The HR Office, Canberra Grammar School, 40 Monaro Crescent, Red Hill ACT 2603 Australia","$71,238 - $76,698 a year","Full-time, Part-time"
