,job_title,company_name,location,salary,job_desc
2,Veterinary Laboratory Scientist,IDEXX,Rydalmere NSW,,"Intermediate computer and data entry skills.
Across the globe the team at IDEXX are focused on enhancing the health and well-being of pets, people, and…"
5,Data Engineer Intern,Intellify- ACS Foundation,Sydney NSW,,"Working collaboratively with data scientists to architect solutions that enable machine learning.
Build data expertise and own data quality for the industry…"
2,METABOLOMICS RESEARCH SCIENTIST,Victor Chang Cardiac Research Institute,Darlinghurst NSW,,"Experience with the generation and statistical analysis of ‘omics’ data.
It allows scientists to access cutting-edge technologies and aims to foster…"
4,Advisor Data Mining,DXC,Sydney NSW,,"Guides and assigns work of others & manages large scale projects with teams ranging from 3-5 data scientists.
Technically mentors multiple team of sizes varying…"
5,Graduate Buy-Side Research Analyst,Susquehanna International Group,Sydney NSW,,"Do you enjoy watching how company specific news and current events impact the financial markets?
Like solving puzzles and working competitively with a team to…"
1,"Experience Management Scientist, Customer Experience",Qualtrics,Sydney NSW,,"Have a strong understanding of good research methodology; item design and data collection.
Able to analyse and interpret data, and report back insights to…"
6,Sports Statistician,Genius Sports Services,Hornsby NSW,,"Genius Sports Statisticians are responsible for attending football events in Hornsby, Australia and reporting all the action directly from the venue using our…"
10,Environmental Scientist/Engineer (Contaminated Land Remediation),WSP Australia,Sydney NSW,,"Evaluate environmental field works including assessment of samples of soil, groundwater, soil vapour, ambient air, landfill gas, sediment and surface water data…"
4,Junior Quantitative Researcher - Machine Learning,Akuna Capital,Sydney NSW,"$100,000 a year","Akuna Capital is a young and booming trading firm with a strong focus on collaboration, cutting-edge technology, data driven solutions and automation."
9,Bohemia - Data Executive,Bohemia - part of M&C Saatchi,Sydney NSW,"$65,000 - $70,000 a year","Comfortable with log level / cookie level data, Excel/Google Sheet data manipulation and Adops (DCM / Sizmek).
What will your day to day look like?"
13,Senior Statistician,PSI CRO,Sydney NSW,,"Develop and document analysis database structures (i.e. SAS analysis data set structures).
Liaise with Data Management on statistical questions, including…"
14,Senior Environmental Scientist,Harwood Environmental Consultants,North Sydney NSW,,"To work with colleagues to achieve field work goals, Work Standards and to prepare the data required for Project Reports, ensuring maintenance of high standards…"
1,Jr. Quantitative Analyst/Developer - APAC,Quantifi,Sydney NSW,,"Quantifi is a leading provider of integrated risk, analytics and trading solutions for the global financial markets."
5,Research Administration Officer (TT),Children's Cancer Institute,Sydney NSW,,Collating presentations of data both from individual and group meetings and any associated materials e.g. relevant publications.
9,Laboratory Manager,NSW Health Pathology,Liverpool NSW,"$125,445 - $132,511 a year","An exciting opportunity exists for an experienced senior scientist in the Transfusion Laboratory of Liverpool Hospital.
Employment Type: Permanent Full Time."
8,Deep Learning Architect,AWS Australia Pty Ltd,Sydney NSW,,"Collaborate with our data scientists to create scalable ML solutions for business problems.
Strong communication and data presentation skills."
9,Registered Nurse,NSW Health Pathology,Randwick NSW,"$64,185 - $90,123 a year","Review study results, perform data entry and maintain study databases as required.
Proficient computer skills including data entry, and proven ability to use…"
13,Data Engineer,Assignar,Sydney NSW,,"Work with data scientists to integrate their machine learning models in production environment.
Leveraging data from a variety of sources to build and maintain…"
14,Research Scientist - CSIRO's DATA61 and the Cyber Security CRC,CSIRO,Sydney NSW,"$98,000 - $106,000 a year","Join CSIRO's Data61 - Australia's largest data innovation group.
CSIRO’s Data61 business unit is the largest data innovation group in Australia, bringing…"
0,Addressable Executive,Clemenger Group,Sydney NSW,,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
We use the Google Tech Stack."
2,Senior Data Scientist,Bluefin Resources,Sydney NSW,"$150,000 - $165,000 a year","Using both structured and unstructured data to develop new innovative models for the business using a variety of data mining techniques, experimental design and…"
5,Marketing Analyst,Koala,Sydney NSW,,"Create holistic dashboards, from multiple data sources, to support team initiatives.
Experience in advanced analytics using statistical and big data…"
6,Surveyor,Jacobs,Sydney NSW,,"Understanding of 3D laser scanning data capture, processing and mdelling.
Jacobs environmental scientists, engineers and technicians perform a variety of…"
7,"Senior Research Assistant/Junior Postdoctoral Scientist, Functional Neuromics",Children's Medical Research Institutue,Westmead NSW,,"Bioinformatics experience including analysis of genomics data and computational.
Make an important contribution to the health of children through medical…"
3,Trainee,NSW Health Service,Sydney Western Suburbs NSW,"$81,639 - $127,539 a year",Westmead Hospital is one of Australia’s largest centres for postgraduate training to specialist levels in all fields with over 100 PhD students and other…
6,Supervisor,NSW Health Pathology,Concord NSW,"$63,136 a year","Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the…"
7,Data Scientist,Continuum Recruitment,Sydney NSW,,"Within this role, you will be responsible for working with large datasets to conduct data mining, analyse trends and design statistical and machine learning…"
8,Data Scientist | Contract,Talenza,Sydney NSW,,"Strong experience physically constructing and compiling data models.
Design large-scale optimization algorithms based on real-world data."
9,Software Engineer,Earth AI Operations Australia,Parramatta NSW,"$100,000 - $129,999 a year","2 years of experience as a data engineer.
Proficiency with python for solving big data problem.
You will uphold the coding standard and promote the best…"
10,Head of Strategy (Media),Clemenger Group,Sydney NSW,,Working with data planners and scientists to find interesting ways to better understand the audience – what they think and how they behave.
11,"Addressable Executive, Programmatic",Clemenger Group,Sydney NSW,,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
Running DBM for CHE Proximity."
2,Decision Scientist,Retail Insight,Sydney NSW,,"The huge amount of data that we’re harnessing requires creativity to transform data and insight into truly innovative solutions.
A bit about the role: *."
3,Information Specialist,Sydney Water,Potts Hill NSW,"$108,054 a year","Subject matter expert in data analysis, analytics, data science and report writing.
Microsoft Power BI or similar data visualization tools."
6,Marketing Automation Specialist (Marketo),Clemenger Group,Sydney NSW,"$110,000 a year",Collaborating with a data scientist and experience planner on defining a new journey recommendation for the new customer onboarding process that would maximise…
7,"Bioinformatician, Computational Functional Genomics",Children's Medical Research Institutue,Westmead NSW,,"Highly experienced research data scientists/bioinformaticians.
Demonstrated experience in transcriptome data analysis.
Committed research and support staff."
8,Account Executive,Digital Alchemy,Sydney NSW,,"Basic knowledge & understanding of data solutions, CRM and marketing would be advantageous but not essential.
As the Account Executive, you will collaborate and…"
9,Senior Manager Data Science,Commonwealth Bank,Sydney Central Business District NSW,,"Lead a small team of data scientists to deliver insights and build scalable models.
Experience in a data science role.
See yourself in our team."
7,Data Scientist,Zone IT Solutions,Sydney NSW,,"We are hiring for a Data Scientist for a Global Consulting client in Melborne.
Core exp as a Data Scientist – developing and optimizing algorithms using ML and…"
9,Senior Remuneration Consultant,WSP Australia,Sydney NSW,,"Advanced Excel modelling and data management skills.
We are technical experts and strategic advisors including engineers, technicians, scientists, architects,…"
13,Buy-Side Research / Investment Analyst,Anton Murray Consulting,Sydney NSW,"$100,000 - $150,000 a year","This is an amazing opportunity to join a leading firm as a Buy-Side Research Analyst supporting their front office.
Part to full way through their CFA and."
2,Environmental Planner / Scientist,ALRA,Sydney NSW,"$90,000 - $160,000 a year","You’ll provide end-to-end project management from consultation, assessment, and client liaison to team coordination (contractor management, invoicing, drafting,…"
4,"Lead Engineer, Python",Fractal.ai,Sydney NSW,,"Supporting Data Science Teams by refining datasets used by data scientists.
5-6 years of experience in data modeling, ETL development, and data warehousing."
6,Neurophysiology Scientist,Seer,Sydney NSW,"$70,000 - $90,000 a year","Securely transfer and manage patient data.
Maintain data integrity via remote login/ contacting patients via telephone.
Capable of meeting tight deadlines."
7,Search Manager,Digitas,Sydney NSW,,"Our global workforce of 7,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to…"
8,"Biostatistician, ProCan​",Children's Medical Research Institutue,Westmead NSW,,"We invite applications from PhD scientists to join our group.
Proteome association analysis and multi-omic data integration for studying cancer, 3)."
0,"Analyst, Quantitative Analysis and Governance",Profusion Group,Sydney NSW,"$100,000 a year","Good working knowledge of Advanced Excel, VBA and data analysis - complex quantitative finance and investment analysis and produce key metrics."
3,CSIRO Postdoctoral Fellowship in Bioinformatics and Statistical Genetics,CSIRO,Sydney NSW,"$83,000 - $94,000 a year","Do you have advanced data analytics capabilities?
It is the largest eHealth research group in Australia with 100 research scientists working with clinicians and…"
4,Bohemia Sydney - Senior Media Manager,Bohemia Sydney,Sydney NSW,"$80,000 - $90,000 a year","Bohemia is so much more than a media agency, we are a business of innovators, negotiators, mavericks and scientists all working together to solve the biggest…"
6,Corporate Governance Research Analyst,Institutional Shareholder Services Inc,Sydney NSW,,"Work with ISS' global data, product and analytics teams as part of the data capture and research function.
The responsibilities of the role will be primarily…"
1,Systems Development Manager,Amazon Corporate Services Pty,Sydney NSW,,"The Network Health team is a mixed-discipline team, with software developers, systems engineers, data scientists, and networking experts, based in Sydney."
2,Senior Signaling Engineer - Sydney,WSP Australia,Sydney NSW,,"Development of complex Signal designs, checking and verification of signaling interlocking data, signalling plans, track insulation plans, control tables and…"
6,Senior Front-End Developer,Digitas,Sydney NSW,,"Our global workforce of 7,000 includes industry-leading creatives in each region, working with data scientists, technology experts and media specialists to…"
7,Senior Application Engineer,Quantium,Sydney NSW,,"Since 2002, our data teams have wrung every bit of information they can from our clients’ data in order to give them the insight they need to make a real…"
8,Occupational Hygiene Consultant & Team Leader,WSP Australia,Sydney NSW,,"Ability to collect and process data and prepare technical reports on small to medium projects.
We are technical experts and strategic advisors including…"
1,Data Engineer,Greythorn,Sydney NSW,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production."
2,Senior Addressable Manager,Clemenger Group,Sydney NSW,,We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
5,Production Maintenance Planner,ANSTO,Lucas Heights NSW,,"The uploading of material master data into SAP MM modules.
We partner with scientists and engineers and apply new technologies to provide real-world benefits."
3,Principal Fabrication Lead,Microsoft,Sydney NSW,,"Strong structured problem-solving skills (such as Design of Experiments) and the ability to use data analysis techniques (such as JMP, SAS or similar tools) to…"
4,"FRTB Quantitative Analyst/Manager, Quantitative Applications Division",Macquarie Group Limited,Sydney NSW,,"You will join our Quantitative Applications Division (QAD), who have global responsibility for ensuring the integrity of key financial models used by Macquarie."
6,"Small Business Marketing, Social and PR Manager",Queen B,Brookvale NSW,$30 - $40 an hour,"You'll have the mind of a scientist (a love of data, facts & figures), the heart of a bee (community minded and hard working!) and the connections of a great…"
7,"Consultant, Python Developer",Fractal Analytics,Sydney NSW,,"Supporting Data Science Teams by refining datasets used by data scientists.
5-6 years of experience in data modeling, ETL development, and data warehousing."
8,Dell boomi Specialist,Robert Half Australia,Sydney Central Business District NSW,$850 a week,"Map business processes and data flows across systems.
Experience with Dell Boomi / Experience within a Data Integration Development capacity."
9,Senior Trading Manager,Clemenger Group,Sydney NSW,,"We're fortunate to have some excellent data scientists working with us helping to build the latest and greatest in models.
We use the Google Tech Stack."
1,Data Engineer,Greythorn Specialist Technology Recruitment,Sydney NSW,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production."
2,Senior Product Manager,hipages,Sydney NSW,,A data-driven approach to product management and being comfortable collaborating with data scientists to analyse large data sets and extract trends and insights…
3,Senior Manager Digital Decision Science,Commonwealth Bank,Sydney Central Business District NSW,,"We have some of Australia’s leading engineers and data scientists, and work hard to create an environment that feels more tech than corporate."
9,"Director of Sales, Ad Sales (ANZ)",Appier,Sydney NSW,,"Appier was established in 2012 by a passionate team of computer scientists and engineers with expertise in AI, data analysis, distributed systems, and marketing…"
0,Sales Representative,Pettit Pharma & Device Search,Hills District NSW,"$70,000 - $90,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently."
2,Principal Statistical Programmer,Novotech,Sydney NSW,,"Develop and validate SAS programs for the tabulation of data, preparation of subject listings, graphical output and statistical analysis of data."
4,Executive Manager FMCG,Quantium,Sydney NSW,,"Using your deep expertise in leveraging data to generate insights and make actionable recomendations, you will help our FMCG clients to think about data in a…"
6,Education,Pettit Pharma & Device Search,Bella Vista NSW,"$65,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently."
1,"Partner Sales Manager, ANZ",Autodesk,Sydney NSW,,"Our software is used by everyone - from design professionals, engineers and architects to digital scientists, students and hobbyists."
3,"Cloud Engineer optimise AWS for Machine Learning, contract",,Sydney Central Business District NSW,,"DevOps / TechOps Engineer from AWS with an interest in Machine Learning and Artificial.
Intelligence (and can talk about it!)."
4,Senior Internal Data Science Consultant,Talent Insights Group,Sydney NSW,,"Assemble and manage a multi-functional, cross disciplinary team (business users, data engineers, data scientists and IT support) in the end to end agile…"
6,Senior Machine Learning Engineer,Sirius People,Sydney NSW,,"You care about agile software processes, data-driven development, reliability, and disciplined experimentation."
7,junior quantitative analyst - market risk,Randstad,Sydney NSW,,"Junior Quantitative Analyst – Market Risk.
What's in it for you?
This is an exciting role for an analyst as it will give you the chance to work with multiple…"
3,Data Engineer,Experis,Sydney Central Business District NSW,,"Collaborate with data scientists to determine what data is needed for analysis.
Develop data set processes for data modelling, mining and production."
4,Cloud Engineer,Numinous,Sydney NSW,,"Ability to collaborate with different technical resources like data scientists, architects and senior stakeholders.
An innovative and curious mind."
6,Software Sales,Pettit Pharma & Device Search,Bella Vista NSW,"$65,000 a year","This organisation creates simple, flexible tools to help scientists and educators record and analyse data quickly and efficiently."
7,Product Manager - Global B2C Retail SaaS business,Talent Streams Pty Ltd,Sydney NSW,"$130,000 - $150,000 a year","Lead a small team on a truly global platform.
Make a big impact on how this product works, looks and feels.
Solve challenging retail world problems for the user…"
8,Metadata specialist,Continuum Jobs,Sydney NSW,,"Lead technical conversations with domain architects, engineering teams, application developers, data-scientists on solutions and issues specific to data /…"
9,Machine Learning Engineer - Computer Vision - work remote,Expertech,Sydney NSW,"$140,000 - $150,000 a year","Then please read along as we are currently recruiting for a Machine Learning Engineer - Computer Vision to work on complex image data in a casual, but very…"
6,Statistical Programming Team Lead,Novotech,Sydney NSW,,"Develop and validate SAS programs for the tabulation of data, preparation of subject listings, graphical output and statistical analysis of data."
7,Postdoctoral Research Fellow / Senior Research Fellow in Alzheimer's Disease,University Of Technology Sydney,Broadway NSW,"$127,666 - $146,614 a year","You will undertake laboratory research in concertation with Professor Vissel, generating quality scientific data in a timely and professional manner with a view…"
8,Head of Product,Onset,Sydney NSW,"$160,000 - $200,000 a year","They are a close knitted team of engineers, data scientists and business leaders who have built a unique AI product that can help businesses across a range of…"
9,Senior Quantitative Analyst,Robert Walters,Sydney Central Business District NSW,,"Work with a growing, group-wide Market Risk team, developing and improving risk mitigation, analysis and prediction."
10,Clinical Trials Nurse Coordinator,Scientia Clinical Research,Randwick NSW,,"You will work closely with a multi-functional team of doctors, scientists, clinical project manager, data managers as well as with external stakeholders."
11,Research & Reporting Analyst,Bluefin Resources,Sydney NSW,$60 - $65 an hour,"Use qualitative and quantitative data from customer feedback to understand needs, expectations, drivers of satisfaction & dissatisfaction amongst our serviced…"
12,DevOps Engineer,Sustainability Consulting,Sydney NSW,,"As a DevOps Engineer, you will work with developers, data scientists, QA's, BA's and product specialists to encourage continuous improvement and introduce…"
13,"Senior Quantitative Analyst, Model Risk",Bluefin Resources,Sydney NSW,,"Ensuring the scope of independent validation appropriately challenges a model's scope of application, methodology and implementation, data used and its…"
14,Product Manager,Freelancer.com,Sydney NSW,"$85,000 - $140,000 a year","Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles).
What makes a good product manager?"
6,Senior Java Developer,Epictenet Pvt Ltd,Sydney NSW,,Joey (AI-powered Conversational Chatbot) is the Next Generation CX Platform allowing Financial Institutions to Re-imagine Customer Experience through…
7,Senior Statistician,HAYS,Sydney NSW,,"Newly created opportunity for a Senior Statistician to join a mid size CRO based anywhere in Australia.
This position can be based anywhere in Australia."
8,Metadata specialist,Continuum Recruitment,Sydney NSW,,"Lead technical conversations with domain architects, engineering teams, application developers, data-scientists on solutions and issues specific to data /…"
9,"Senior Quantitative Analyst, Counter-party Credit",Bluefin Resources,Sydney NSW,,"Newly Created Position in the Market Risk Team - Counter-party Credit.
Assist in the quantitative modelling for Market Risk and Counter-Party Credit Risk."
11,"Senior Manager, Algorithmic Trading & Machine Learning",Bluefin Resources,Sydney NSW,,"7+ years' experience within a data science or trading development team.
Fluency in programming (Q, Python, R or equivalent) and associated data science tools …"
14,Associate Product Manager,Rokt,Sydney NSW,"$70,000 - $80,000 a year","Examples of problems you have solved, including experience working with data and reporting.
You will work with a smart and passionate team of engineers,…"
15,"Senior DevOps Engineer - Big Data, Machine Learning & AI",Limelight Consulting Group Pty Ltd,Sydney NSW,,"Working within a cross functional team, alongside data scientists and software engineers, you will be focused on delivering continuous delivery and…"
16,Software Engineer,Earth AI Operations Australia,,"$100,000 - $129,999 a year","2 years of experience as a data engineer.
Proficiency with python for solving big data problem.
You will uphold the coding standard and promote the best…"
5,Fullstack Software Engineer (Sydney or Melbourne),Latitude IT,Sydney NSW,"$150,000 a year","% Options Within a Growing Business.
Join a young, driven and extremely sharp engineering team.
Our client is currently leading the way in AI PropTech."
7,Sales Account Director - Artificial Intelligence,Ultimate Asset,Sydney NSW,"$100,000 - $140,000 a year","Our client was established in 2012 by a passionate team of computer scientists and engineers with expertise in AI, data analysis, distributed systems, and…"
8,FUND MANAGER Disruptive Technologies Research Analyst,Avenir Consulting,Sydney NSW,,Developing tailored research and insights on emerging technologies via data analytics and modeling across industries and markets.
9,Machine Learning/Computer Vision Engineer *Flexible Working/WFH*,Hyre Pty Ltd,Sydney NSW,,"Work from home options (highly flexible).
Machine Learning/Computer Vision Engineer – Image Recognition Platform.
Passion for ML & Computer Vision."
10,Recruitment Consultant - Sydney,Hudson,Sydney NSW,"$60,000 - $80,000 a year","The modern recruiter is part marketer, part researcher and data scientist, part match maker, part salesperson and part talent advisor."
11,Senior .Net Contract! $800 per day! 6 months rolling!,Hyre Pty Ltd,Sydney NSW,$800 a day,"My client is looking for a Senior .
Net developer to join a team working on a landmark greenfield project.
Working with other developers and Data Scientists,…"
12,Tech-lead and senior full-stack engineer in Sydney CBD #kotlin #react,Achilles Systems Australia Pty Ltd,Sydney NSW,"$120,000 - $150,000 a year","Our Sydney team is 100% tech, consisting of 12 passionate developers, product owners and data scientists and growing.
You don't know us?"
14,"Small Business Marketing, Social and PR Manager",Queen B,,$30 - $40 an hour,"You'll have the mind of a scientist (a love of data, facts & figures), the heart of a bee (community minded and hard working!) and the connections of a great…"
0,Senior Product Manager,Freelancer.com,Sydney NSW,"$100,000 - $140,000 a year","Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles).
5+ years in a product manager role."
1,Product Manager,Onset,Sydney NSW,,"They are a close knitted team of engineers, data scientists and business leaders who have built a unique AI product that can help businesses across a range of…"
2,Research Analyst | Loan Writer | Credit Officer | Mortgage Broking Industry,Uplift Recruitment,Sydney NSW,,"Our client is a mortgage broker who are about the people.
They utilise their terrific relationships with multiple lenders to open doors for their customers and…"
3,Senior Machine Learning Engineer,Launch Recruitment,Macquarie Park NSW,"$950 - $1,000 a day","Work closely with Data Analysts, Solution Designers, Application Architects to translate large data sets to high quality ML."
4,Market Research Analyst (FMCG),Euromonitor,Sydney NSW,,"As a Research analyst, you will have an opportunity to study and build expertise across all FMCG / Corporate industries that range from daily household…"
5,senior quantitative analyst - market risk,Randstad,Sydney NSW,,"Senior Quantitative Analyst – Market Risk.
What's in it for you?
This is an exciting role for an analyst as it will give you the chance to work with multiple…"
6,Hadoop Platform Engineer/Administrator,Onset,Macquarie Park NSW,,"There are very few platforms in Australia capable of handling this much private and public-sector data.
An important posting no doubt.. you'll know why once you…"
7,Lead Machine Learning Engineer,Onset,Surry Hills NSW,,You are going to be an essential part of a Data Engineering team providing technical leadership to evolve the business’ data processes on massive data sets.
8,Architect / Developer - Leading Construction Company - up to $160K Package!,Hyre Pty Ltd,Sydney NSW,,"Develop a world first ERP system!
Dedicated RnD time each week!
My client is looking for an Architect / senior .
Engaging stakeholders and wider business units."
9,Senior Systems Engineer (Level 3),Talentpool Recruitment,Sydney NSW,,"You will be joining an exceptionally talented group of data scientists, engineers and sports analysts at the forefront of their field."
11,Sports Statistician,Genius Sports Services,,,Genius Sports Statisticians are responsible for attending football events in (country) and reporting all the action directly from the venue using our state-of…
12,Senior Data Scientist,Macquarie Group,,,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data."
2,Business Analyst,Robert Half Australia,,"$110,000 a year","Excellent opportunity for an experienced BA to work within a growing Australian company.
Working as part of a transformation project this well-known client is…"
3,Systems Analyst,Robert Half Australia,,"$125,000 a year","4 years' experience as systems accountant or business analyst preferred.
Partner with IT, FP&A and Business Analysis teams to analyse company performance,…"
6,Graduate Data Analyst | Perpetual Corporate Trust | Sydney,Perpetual,Sydney NSW,,"Work with clients to ensure that data submissions are consistent with data definition glossary.
Ideally have some form of data analyst experience gained within…"
7,Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,,"In data science and big data analytics, the IDA creates enablers for:
Understand data structures and business and extract and integrate required data sources…"
10,2021 Product Analytics/Data Science Graduate,Atlassian,Sydney NSW,,Super-launch your career through our experienced analyst mentoring while gaining invaluable exposure to the role of analytics and data science at a fast growing…
5,"Data Analyst – Associate – permanent part time role, 3 days per week",Macquarie Group Limited,Sydney NSW,,"Checking published/company data against information contained in our database and following up on discrepancies will be other key components, as will trouble…"
4,Data & Reporting Analyst - 12 Month Contract - Parramatta,Westpac Group,Parramatta NSW,,"Exciting opportunity to join our Risk & Fraud Operations team in Parramatta.
The Data and Reporting Analyst will be responsible for the design, build and…"
9,Data & Reporting Analyst - Parramatta,Westpac Group,Parramatta NSW,,"Exciting opportunity to join our Risk & Fraud Operations team in Parramatta.
The Data and Reporting Analyst will be responsible for the design, build and…"
11,Graduate Analyst,"Marsh & McLennan Companies, Inc.",Sydney NSW,,"Supporting Consultants to undertake research and deliver client projects, using Mercer’s proprietary tools and models to complete data analytics and draft…"
3,"Graduate Data & Analytics Role, Financial Services Risk Advisory - Expressions of Interest - Sydney",EY,Sydney NSW,,"You will be part of a specialist risk data and analytics team consisting of data engineers, visualisation specialists, insights analysts and data scientists."
6,Analyst Campaign,Qantas Airways Limited,Sydney NSW,,"Opportunity to join a high performing data driven team.
The ideal candidate will be a highly skilled digital individual who is results orientated, highly…"
11,Business Analyst - Intern,HelloFresh,Sydney NSW,,"Extensive hands-on experience working with Excel at an advanced level, with the aspiration to expand your skills to other data analytical tools such as SQL."
12,Senior Data Analyst,Atlassian,Sydney NSW,,"We want a difference maker, a thoughtful and diligent data analyst that can take data from many sources and partner with business teams and executives to drive…"
8,Sydney Research Analyst - 2021,"The Brattle Group, Inc.",Sydney NSW,,"Diving into data, using statistical analyses to extract information from messy data.
They work seamlessly in teams, have exceptional analytical skills …"
11,Business Analyst - Intern,ANZ Internal Job Board,Sydney NSW,,"Extensive hands-on experience working with Excel at an advanced level, with the aspiration to expand your skills to other data analytical tools such as SQL."
12,Graduate Buy-Side Research Analyst 2021,"Susquehanna International Group, LLP",Sydney NSW,,Research analysts provide in-depth company analysis around future catalyst events and provide real-time opinions on breaking news throughout the trading day.
2,Graduate IT Analyst -2021 Cohort,Reserve Bank of Australia,Sydney NSW,,"IT Graduate applicants must hold or be completing a degree with strong academic achievement in information technology, computer science, data science,…"
7,Data Scientist,Qantas Airways Limited,Sydney NSW,,"Demonstrated experience in applying data science techniques to solve business and/or other applied problems.
High level understanding of one or more core areas…"
10,Strategic Workforce Planning Analyst,Qantas Airways Limited,Sydney NSW,,"Demonstrated experience in analysing data or large volumes of information to provide insights and recommendations.
Today, we’re busy planning for tomorrow."
1,Junior Business Analyst Intern - 12 month Fixed Term Contract,Pernod Ricard,Sydney NSW,,"Manage and ensure data integrity across all tools and systems.
Assist in the preparation of the annual budget, forecasts and strategic plan ensuring internal…"
2,Graduate Analyst - Economics and Finance - 2021 Cohort,Reserve Bank of Australia,Sydney NSW,,"Our program is well recognised in industry as an outstanding professional opportunity for economists and financial analysts.
Meaningful work from day one."
3,Route Performance Analyst,Qantas Airways Limited,Sydney NSW,,"This highly analytical role will have you supporting revenue-driven strategies like pricing, inventory and network decisions, alliance relationships and sales…"
6,Graduate Actuarial Analyst,QBE,Sydney NSW,,"QBE Actuarial Graduate program - Sydney and Melbourne.
Are you looking to kick-start your Actuarial career and interested in joining one of the world’s top 20…"
8,IT Helpdesk Analyst - Retail,General Pants,Alexandria NSW,,"As an IT Help Desk Analyst you will be responsible for providing technical support for the General Pants Group.
Some of the key objectives are....."
9,Senior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,,"Lead and mentor junior data analysts/scientists in a closely collaborative data science project team.
In data science and big data analytics, the IDA creates…"
5,Digital Business Analyst,Qantas Airways Limited,Sydney NSW,,"Strong experience in comparing data sets to deduce accurate insights.
3+ years’ experience as a business analyst and 1+ years’ experience in, and a passion for,…"
6,2020/2021 Summer Internship Program - Analytics / Data Science,Atlassian,Sydney NSW,,Super-launch your career through our experienced analyst mentoring while gaining invaluable exposure to the role of analytics and data science at a fast growing…
8,Graduate Buy-Side Research Analyst,Susquehanna International Group,Sydney NSW,,Research analysts provide in-depth company analysis around future catalyst events and provide real-time opinions on breaking news throughout the trading day.
9,Equity Research Analyst,Morgan Stanley,Sydney NSW,,"Assisting in the design and preparation of analyst marketing materials.
Responding to requests for data and information from internal and external clients."
10,Data Analyst / Junior Data Scientist,Freelancer.com,Sydney NSW,,"We are a data-driven company - data trumps opinions.
Proven experience as an analyst.
Present information using data visualisation techniques."
