,job_title,company_name,location,salary,position,job_desc
66,"Analyst, Capital Technology",Commonwealth Bank,Sydney Central Business District NSW,,,"Sydney Central Business District NSWSee yourself in our team
The capital technology team is responsible for the operation of the Capital Engine in the Group Treasury Risk System (GTRS) . GTRS consolidates credit risk information from across the group and calculates Risk Weighted assets for internal and external reporting. Information from GTRS is used to calculate regulatory capital and credit exposure information.
This will require you to be responsible for the collation, extraction, aggregation and analysis of the Bank’s capital data to develop accurate and timely risk information for reporting to the Bank’s Executive Management, Risk Committee, the Board, Regulators, Ratings Agencies and Analysts as well as other business partners and customers of Group Capital Analysis & Reporting Data.
The role will be a key contact point for all business and risk projects that result in changes to the capital production process.
Do work that matters
Represent the team at various project working groups for all projects that have the potential to impact on the Capital production process. This representation may also include assisting our Business Analyst’s with UAT requirements.
Assist in the development and maintenance of various capital frameworks to ensure business activities of the Group can be measured as shareholder value accretive and support business units and product owners to better understand the capital implications of business decisions and projects.
Create and sustain effective business relationships with key customers and key business partners.
Role-model the values and behaviours of the CBA group at all times to help build and develop a high performance culture.
Undertake any other reasonable tasks assigned by your manager that you have the capability to perform safely.
The team has oversight of the group’s product systems that are used as inputs into the capital engine and coordinates with upstream data stakeholders to meet its deliverables.
Using Alteryx and Tableau building RWA and capital reports, exception reports, and operational control mechanisms.
We’re interested in hearing from people who
Tertiary Qualification (or International equivalent) in IT, Finance or Commerce.
The role will suit you if you are analytically minded, and enjoy problem solving.
Ability to use SQL, (writing queries, amending queries, assistance with up-skilling other team members and customers) is a requirement for this role
Knowledge of Tableau & Alteryx will be an advantage, however there is scope to learn these technologies in this role.
Prior experience with business or financial reporting within the financial services industry is desirable.
If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick to submit a valid application. We’re keen to support you with the next step in your career.
We're aware of some accessibility issues on this site, particularly for screen reader users. We want to make finding your dream job as easy as possible, so if you require additional support please contact HR Direct on 1800 989 696.
Advertising End Date: 12/03/2020"
67,Marketing Analyst,Koala,Sydney NSW,,,"Sydney NSWKoala’s mission is to become the smartest way to buy high-quality furniture online. Combining customer-centric products, a world-class technology and fulfilment platform, and incredible customer service, we are changing the way people buy and enjoy furniture.


Why we have this role @ Koala

Koala has redefined the benchmark for customer experience and marketing standards in the Australian retail industry. At the core of this success has been a devotion to understanding and acting on the data that drive customer experience.


As a marketing analyst, you will be charged with taking this understanding to the next level, digging into our data to better understand the needs of our customers and the ways we communicate them.


Day to day will be taking lead on marketing analytic decisions, working closely with Growth, Performance, CRM and our Optimise teams. You will be running analysis to identify large scale opportunities, analysing post campaign success, liaising with ad hoc marketing requests, whilst continuing to build on serving actionable (and self-serviceable) insights via our BI tools.


What key responsibilities does this role have @ Koala?

Empower the marketing team to refine their strategies, make more efficient budget allocations, and maximise their return on investment

Support team members in answering ad-hoc customer analysis requests in an efficient and thorough manner

Perform rigorous pre and post advertising, optimise & growth campaign analysis

Create holistic dashboards, from multiple data sources, to support team initiatives

Assist with moving our current business forward and identifying emerging trends

Support and provide guidance for ongoing ad-hoc reporting & analysis

Identify new business opportunities and improve the way we connect with our customers

Ideal background…

4+ years of experience as a Marketing/Business Analyst, Data Scientist or Management Consultant

Expert in Excel, SQL and web analytics tools/platforms (Google Analytics, Google Tag Manager)

Expert level Experience with BI Tools (Looker, Tableau or Similar)

Experience with attribution platforms

Strong analytical skill set and ability to operate at company strategy level

Familiarity with all digital marketing channels

Experience in advanced analytics using statistical and big data methodologies, developing models for budgeting & forecasting

Flexible, adaptable, able to work in an entrepreneurial environment

Experience working as part of a cross-functional/ growth focused team

Capabilities we look for…

The customer is at the heart of decisions

Acts with honesty, integrity and ethics in everything they do

Brings good vibes to the people around them

Relentless focus on the end game

Delivers with entrepreneurial mindset

Naturally curious

Thinks forward, reflects back

Ambitious but never arrogant

Lives the values of Koala

Rides through change like a boss

Creates success proactively

Benefits...

Casual Friday everyday!

Free products for staff and discounts for family & friends

Fully stocked kitchen in ultra modern office

Regular sports and social events

Opportunity to be part of rapid growth plans

Working with a small team – gaining massive exposure!

Personal growth and learning opportunities

Working in an ethical organisation that genuinely gives back

What’s Next...

If you think you're the one we're searching for, send us your resume and cover letter telling us what makes you a great fit for the role."
68,Reporting Analyst,Sirius People,Moreland VIC,,,"Moreland VICOur client is a not-for-profit with a focus giving back to the community. You will be working in a close knit team reporting across all business units. You will be responsible for data discovery and assisting the business units to make informed decisions based on your findings using MSBI Stack. This role is key in being part of the new world “data centre of excellence.” You will have the freedom to explore and investigate the data to inform the business.

Your Benefits:
Full time permanent role
Immediate Start
Inner Northern Melbourne Location
Not-For-Profit + salary sacrificing
Flexible work hours – ie/ Start early finish early

You will be responsible for:
Designing and building reports in SSRS for BAU and Projects
Stakeholder management/engagement and requirement gathering to provide meaningful insights and build dashboards and reports
Present your findings to the board/executive team and clearly articulate your findings in plain English
Responsible for your own SQL queries
Extract and investigate your own data - clean and prepare it for reporting
You will be working across the whole MSBI Stack
Work collaborative in a team and deliver on deadlines in an accurate way which is critical for funding

You will need to have:

Demonstrated experience in a similar role – Analyst
Demonstrated experience on full MSBI Stack – SSIS SSAS SSRS + ETL
Bachelor's Degree in business, IT or related discipline/relevant experience
Demonstrated background developing solutions SQL and relational databases. SQL experience is essential.
Proven decision making ability and hit the ground running in new environments
Excellent communication skills both written and oral

A background in education or health is highly desirable but not essential. This is an established organisation close to public transport. Must have full Australian working rights. This role is perfect for a mid level data visualisation Professional who can manage their own data. The successful candidate will need to complete

If you are available now please APPLY and then call Donna on 03 9020 1994."
69,Management Accountant,Amana Living,Perth Central Business District WA,,,"Perth Central Business District WAJob no: 493824
Work type: Full time
Location: Perth CBD, Inner & Western Suburbs
Categories: Finance

Amana Living is one of Western Australia's largest not-for-profit providers of care, accommodation and support for older people, managing a complex and diverse portfolio in a dynamic and challenging market.

An opportunity is now available for an experienced Management Accountant to join our corporate team in Subiaco. Reporting to the Financial Controller, the primary responsibility of this role is to support the financial control team in the delivery of comprehensive and robust data analytics, maximising the use of the Amana Living data warehouse. This role is suitable for a self-driven, adaptable and highly capable individual who will partner with all lines of service to deliver performance insights to the business.


About the role

The key responsibilities of this role include:

Assists the Senior Management Accountant and the broader Finance team in supporting the financial budgeting & forecasting processes, including cash flow forecasting and analysis
Partners closely with the business to report and understand financial performance, including variance analysis
Creates and maintains data models to support the business, including trend analysis, project modelling and budgeting / forecasting as required
Works closely with the data warehouse Tech Lead to ensure the completeness and integrity of all data in the warehouse, including periodic reviews of data sources that may add value
Supports the Tech Lead to ensure relevant changes identified by the business flow through to the data warehouse seamlessly
Maintains all visualisation tools, ensuring that users have the information they require and are adequately trained to use the tools
Collates and analyses industry and peer group research
Conducts proactive analysis and relevant internal benchmarking and provides reporting / recommendations as required
Supports external benchmarking activities undertaken by Amana Living and provides reporting / recommendations on trends and outcomes


Who we are looking for

The successful candidate will have highly developed interpersonal skills with the ability to analyse, interpret and communicate complex information to a diverse audience. You will have exceptional attention to detail, demonstrate initiative and have ability to respond to situations as they arise.

Essential Criteria

5+ years direct experience in a data analytics, M&A and/or financial analytics role
Direct experience working with Enterprise Data Warehouse environments, including utilisation of visualisation tools
CA / CPA qualified or Australia recognised equivalent with relevant professional memberships
Relevant tertiary qualification (minimum bachelor’s degree)
Strong financial and analytical knowledge and skills demonstrated through prior experience in a similar role
Advanced Microsoft Excel and Power BI skills
Direct experience using visualisation tools, understanding of SQL and use of MS SQL Server highly regarded
Possess a National Police Clearance Certificate (no older than 6 months) or be willing to obtain one


What’s on offer?

Working for Amana Living offers you a fulfilling career with the opportunity to have a meaningful impact on the community we serve, while advancing your professional development in a high performing team. We also offer a range of benefits, including competitive salaries with the ability to salary package and discounted private health insurance.


If you feel you are who we are looking for, please with a covering letter and resume.

Advertised: 11 Feb 2020 W. Australia Standard Time
Applications close:28 Feb 2020 W. Australia Standard Time"
70,Senior BI Consultant | Azure | SQL | Data & AI,Insight,Sydney NSW 2000,,,"Sydney NSW 2000Global Fortune 500 company
Work with bleeding edge technologies
Fantastic team environment | CBD location


Come join #11 Best Place to Work in Australia!

Insight is passionate about leveraging Microsoft technologies to help customers achieve their goals. We currently have a great opportunity to join our Data and Integration practice as a Senior BI Consultant. In this role you will own and drive challenging projects and work with customers to understand functional and business requirements and design appropriate solutions.

To be successful in this position you will have the following…
Deep experience in the SQL Server product suite, including SSAS, SSIS and SSRS.
Experience designing and implementing solutions using the Microsoft Power BI platform OR extensive tabular modelling experience including DAX
Highly developed conceptual and analytical skills combined with sound judgement.
Proven ability to develop technical requirements based on business imperatives.
Ability to write quality high level and detailed architectural diagrams, strategic roadmaps and technical documentation that communicate customer vision
Experience implementing IaaS and PaaS offerings in Azure such as Virtual Machines, Azure SQL Database and Azure SQL Data Warehouse.
MS Certifications / exposure to industry and IT methodologies & frameworks such as TOGAF, ITIL and agile.
We can offer you: -
Opportunity to work with multi-industry, enterprise customers on large projects
Paid training and time off for study
Social, fun culture
Dedicated career pathway with promotion opportunities
Option to purchase additional annual leave
What now?

If you want to be part of a growing company where you can continue learning, add value and be appreciated for what you do then please apply to Jamie Nedved, Talent Acquisition Specialist.

Check out our website for more info and case studies www.au.insight.com."
71,Client Solutions Finance Analyst,Commonwealth Bank,Sydney Central Business District NSW,,,"Sydney Central Business District NSWSee yourself in our team
Client Solutions (CS) leads relationship management and client strategy/needs identification for institutional clients and partners IB&M product teams in delivery of the Bank’s capabilities. CS operates across 6 Ecosystems (+ Transaction Banking Solutions):
Natural Resources & Energy
Banks & Government
Industrials, Transport & Consumer
Real Estate & Infrastructure
Technology, Media, Health & Education
Non-Bank Financials
Transaction banking Solutions
The Client Solutions Finance team primarily focused on:
Finance partnering and support to the CS business
Capital, risk adjusted reporting and costs
Data and systems / process enhancements
Do work that matters
Producing timely and accurate client level reporting and analysis for the IB&M Client Solutions business.
Engage and build relationships with Relationship Bankers (including offshore bankers) in providing awareness and understanding of inputs and end to end processes driving MIS Income outcomes and results.
Understanding and analysis of the various products distributed within the Client Solutions Business
Problem solving, answering client related queries/issues raised by the business, in a timely manner.
Partner with the business to ensure appropriate pricing decisions are made.
Involvement in business strategy papers and exposure through Industry team meetings.
Work with a range of stakeholders (Finance, CS business, Product) to deliver the annual Plan and regular forecasts and assist in implementing and managing cost allocation methodologies with the business
Provide insights and analysis across a range of client metrics, including: revenue, expenses, capital, risk measures (exposures, PD, LGD), balances, ROE, ROTE, PACC etc.
Driver a strong control environment through effective financial control of the front to back client data process
We’re interested in hearing from people who have
A relevant professional qualification (CA, CPA ) or graduate studies in Business, Finance preferable
Demonstrated commitment to customer service and delivering quality outcomes
Knowledge of Institutional Banking & Markets products preferable
SQL / GL knowledge preferable
Strong excel and Powerpoint skills
Strong communication skills, both verbal & written, with the ability to summarise key insights
Proactive questioning approach to help make a difference within the team
Strong time management/organisation skills
Analytical skills and passion for continuous improvement
If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick to submit a valid application. We’re keen to support you with the next step in your career.
We're aware of some accessibility issues on this site, particularly for screen reader users. We want to make finding your dream job as easy as possible, so if you require additional support please contact HR Direct on 1800 989 696.
Advertising End Date: 12/03/2020"
72,Data Analyst,Opus Recruitment Solutions,Sydney NSW,"$130,000 - $150,000 a year",Permanent,"Sydney NSWPermanent$130,000 - $150,000 a yearBecome an integral part of the team at a global company
Use your strong analytical skills to make an impact
Superb career progression
Top quality company looking for an experienced and skilled Analyst to join their Analytics team in charge of managing client and product reporting. You will directly support the business in providing visualisations, analysis and insight, product control, and related project and strategy implementation support.


RESPONSIBILITIES:

Create accurate reports and insights for the stakeholders
Consolidation of monthly customer metrics
Assistance with month end procedures to ensure production of accurate data
Develop and maintain Tableau dashboards
Involvement in building the infrastructure needed to support dynamic reporting
REQUIREMENTS:

Strong analytical skills
Skilled in SQL, ETL, as well as Visualization and Dashboard
Experience with Python and Power BI highly desired
Stakeholder management
Proven problem-solving capabilities
Strong communication skills

If you would like to hear more about this excellent opportunity or other Data and BI opportunities in Sydney get in touch with Sina today!"
73,Support Coordinator,Bookwell,Melbourne VIC,"$45,000 - $50,000 a year",,"Melbourne VIC$45,000 - $50,000 a yearAbout BookwellBookwell.com.au - a business solution for beauty and wellness venues and online booking marketplace - is looking for an awesome Support Coordinator to provide our business partners and customers with first-class service.This is a big opportunity for the right person to have a massive impact on the growth of a startup. If you’re one of those rare friends who still prefers a phone call over a text message, or if you enjoy guiding others to see the positive in tricky situations, then we want to hire you!We’re a small, tight-knit team of over-achievers working out of a lovely co-working space in Melbourne’s CBD. If you’re keen, then read the details below and make sure to send us a message.About the roleYour day-to-day as Bookwell Support Coordinator would start with receiving and following up messages from venue partners and customers - whether by phone, text or email. Why is the owner of a hair salon having trouble rescheduling a client, and what did that client think of their experience using Bookwell.com.au to make an appointment?By becoming an expert in Bookwell’s products and providing outstanding service, you’ll have a massive impact on the growth of our startup and learn a lot about business along the way.Key CharacteristicsEnergetic Communicator - You’re positive, empathetic, and charming. Your mood is most often set to “tireless patience” - that setting other mere mortals can only aspire to.Super Organised - You have a system for keeping track of the little things and prioritising the big things. You have a fierce attention to detail and an affection for consistent, predictable processes.Technically Savvy - You’re resourceful. Perhaps you’ve dabbled in coding, know some HTML or SQL or spreadsheet formulas. Regardless of your experience, you’re stubborn about solving problems and do not shy away from going down a Google rabbit hole to self-educate.ResponsibilitiesInbound SupportReceiving inbound communications from venue partners and customers via phone, text, chat and emailTraining venue partners and providing ongoing supportResolving simple and escalated issuesBilling Processing & EnquiriesOverseeing our venue bill run to ensure accurate payments to and from BookwellOngoing Quality AssuranceIdentifying and proactively reaching out to poor performing venue partners with low rates of successful Bookwell bookingsReporting feedback from venue partners and customers to help improve Bookwell’s serviceWork HoursThe initial hours for this role are Monday to Friday 9am to 5:30pm.Work hours for this role may change to include weekends and/or evenings.After hours work may be required and can be taken as time in lieu.Apply ifYou have 1-2+ years work experienceYou’re interested in a junior position with big growth opportunityYou love tackling new challenges and solving problemsHow to ApplyEmail Sarah at jobs[at]bookwell.com.au with the subject “Support Coordinator - Your Full Name” and a few sentences that answer (1) why you’re interested in this role and (2) why you think you’d be great at it and your resume attachedJob Type: Full-timeSalary: $45,000.00 to $50,000.00 /year"
74,ERP Data Conversion Analysts,Launch Recruitment,Geelong VIC,none,Contract,"Geelong VICContractOur client is looking for a Data Conversion Analyst to assist with their Oracle Financials Cloud Migration project.

About the role:

As part of the Data Conversion work-stream of the ERP Implementation Project, the responsibilities for a Data Conversion Analyst includes creating and maintaining the data migration components for the implementation; creating data verification procedures and executing data loads across multiple test cycles.

A day in the life:
Perform extract, transform and load activities from the legacy systems into the Oracle Cloud
Analyse the method of transforming existing data into a format for the new environment.
Prepare necessary process/support documentation
Perform analysis of legacy data and advise project team on data quality issues and give guidance on the best way to migrate and manipulate these datasets to Oracle Fusion
Provide support to stakeholders engaged in data migration
Perform data migration audit, reconciliation and exception reporting
Identify risks and issues in a timely manner and escalate for resolution as needed
Work with project team and stakeholders to understand and refine requirements, communicate complex issues effectively to project team.

About you:
At least 5 years of experience working in ERP projects with at least one implementation cycle of an ERP Data Migration across Financial (AP, AR, FA, GL) and Procurement modules
Experience with E-Business Suite 11i / R12 / Oracle Fusion Financials data models / data templates
High comfort level with scripting / SQL
Advanced Microsoft Excel skills.
Strong analytical skills
Strong communication skills both oral and in written
Ability to work in a fast-paced environment with time sensitive projects and meet tight deadlines

What next?
Apply now with your CV in word format"
75,Insights & Analytics Lead,Vodafone,North Sydney NSW,,,"North Sydney NSWAt Vodafone, we put our customers at the heart of everything we do to give Australians more choice and freedom to connect the way they want.
As the Analytics & Insights Lead you would be responsible for designing and utilising complex data analytics and modelling, to drive impactful customer, product and brand focused insights across the business. You will take the lead to identify customer trends, insights and potential opportunities designing a road map to understand customer behaviours and market trends.
We want to shake things up so we’re looking for someone drive the evolution of next generation analytical platforms and contribute to the formation of and Analytics Centre of Excellence; incorporating behavioural intelligence and market research insights that drive customer, product and brand strategy.
This will help us to improve scalability, speed and performance of existing processes related to insights and reporting. The business will look the the Analytics & Insights Lead to help influence and educate stakeholders on emerging analytic techniques and Architecture Governance

Some of your accountabilities will include:
Partnering with BI and Data Analytics teams to influence change and stability in design of the organization Data & Analytics eco system.
Take the lead in customer and product deep dives using internal/external data to identify trends, insights and potential opportunities.
Design a road map of strategic insights to understand customer behaviours and market trends
Participating in Design governance forums and be accountable for changes in data presentation layer and analytics practices.
Communicate and discuss solutions and intelligence with key stakeholders in an understandable and effective way
 Knowledge & Experience Requirements:
Relevant degree or qualifications in applied statistics or a related analytical field, coupled with 3-5 Years' experience in Data Analytics and Customer insights.
Strong commercial acumen and the ability communicate insights and recommendations to senior stakeholders in a clear and concise manner, both in verbal and written formats.
Extensive experience in extracting and manipulating large volume data
High level of computer literacy, especially with Microsoft Excel and PowerPoint., Prior experience in using Qlik desired.
Development skills in Python, R, SQL and Teradata related programming tools.
Strong storytelling skills and proven ability to play the role of a data & analytics translator

We celebrate people’s individual differences as we believe diversity plays a vital role in the success of our business. We want to attract, develop and retain the best people, so we offer a flexible, diverse and inclusive workplace where hard work is truly rewarded.
If you think you’ve got what it takes to be a part of the Vodafone family, apply now!
The future is exciting. Ready?
When you sign up and create a LiveHire profile, your personal information will be collected in accordance with Vodafone's Privacy Collection Statement and LiveHire's Personal Information Collection Statement.

To be considered for this role, you must be an AU/NZ Citizen or Permanent Resident."
76,"Senior Data Integration Specialist - Finance - (SQL,SSIS,Tableau)",The Recruitment Company,Sydney NSW,,,"Sydney NSWRespected Financial House based in Sydney seeks an experienced Senior Data Integration Specialist to play a pivotal role in a growing team.
The Data and Analytics department is an integral part of the team, delivering robust infrastructure, analytics and digital solutions to a fast-paced environment.

The Role
High profile role which will allow you to work with a variety of key business units on improving customer experiences for business intelligence.
You will be empowered to contribute your ideas and develop processes around content design and capability uplift.

Experience
Advanced knowledge of business intelligence platforms and tools
Alteryx, Tableau, SQL, SSIS, COGNOS, D3

Desirable
Coding in R & Python
Predictive modelling experience

What’s in it for you?
 Unique opportunity to join a business that truly vales Data and looks to empower its Data Consultants to shape business decisions.
 You will join an intimate team of 3 and will be coached to grow your career & skills.

To be considered for this role please send your CV to Anna-Maria.
 Or text me on 0426 503 822 and I will call you straight back! Happy to chat about other career opportunities too."
77,Team Lead - SQL/AWS/.Net Project,Aware Services,Sydney NSW 2000,$800 - $900 a week,Contract,"Sydney NSW 2000Contract$800 - $900 a weekAware are looking for a strong Team Lead to lead a project for our client. Co-ordinate and guide an offshore team to ensure the project is delivered on time and to a high quality. Liaise with onshore stakeholders to assign tasks and give advice on technical elements of the project.

This is a 6 month contract with possible extension and the ability of an immediate start.

Skills that would be helpful to this role include:

Knowledge of AWS (EC2/Security/Scaling)
A background in development (.Net/Javascript)
SQL Server development & administration experience (e.g. creating failover clusters etc)
Visual Studio Teams PM functions e.g. assigning tasks, automating builds, integrating with GIT
Team leadership and experience with dealing with offshore development teams
Background knowledge of Tableau and/or other reporting solutions

You must have current working rights in Australia to be eligible for this role.

Aware Services is an IT Consultancy that specialises in Data, Analytics and Salesforce. We design pragmatic solutions that drive rapid outcomes for clients across all industry verticals. Aware understands that everyone is individual and that a diverse workforce creates better results by representing the views of the wider community. As a knowledge focused business, Aware aims to partner with their employees to foster knowledge growth through a strong focus on learning and developmental coaching.

For more information, check out our Linkedin: https://www.linkedin.com/company/aware-services/"
78,Supervisor Customer Support,DXC,Brisbane QLD 4001,,,"Brisbane QLD 4001Job Description:

DXC Technology (DXC: NYSE) is the world’s leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology serves nearly 6,000 private and public sector clients across 70 countries. The company’s technology independence, global talent and extensive partner alliance combine to deliver powerful next-generation IT services and solutions. DXC Technology is recognized among the best corporate citizens globally. We guide clients on their digital transformation journeys, multiply their capabilities, and help them harness the power of innovation to thrive on change.
DXC Technology aspires to be a strategic partner in helping our business and government clients better serve their clients and citizens. We work to overcome their IT challenges, collaborating to make technology work for them, anytime and anywhere.
Summary
An opportunity exists within the Clinical HealthCare segment for a motivated and experienced Support Supervisor. This person will be accountable to our clients by providing a service built on personal experience, sophisticated knowledge, skills, accomplishments and passion. As a team we are responsible for delivering a quality focused, reactive support and maintenance service covering the DXC Technology clinical application portfolio.
You will work with the team providing guidance, mentoring, direction and leadership to a group of individuals focussed on Support and Maintenance product related incidents, service levels and key performance goals. The position will work closely with management in meeting contractual commitments.
Your Key focus and goals are to deliver outstanding customer support, provide effective team management, improve profitability by delivering an effective and efficient support service working proactively to reduce the number of incidents logged.
Required Skills and Experience:
10 + years’ experience in the following:
Managing or supporting managed/application services within the ANZ healthcare sector
Managing technical support for healthcare IT systems e.g. hardware platforms, server architecture, SQL servers, Oracle
Desired Skills and Experience:
Degree in Health Information Management and/or Information Technology
T/SQL or PL/SQL Experience
ITIL certification
Healthcare degree
Degree in Management"
79,Technical Consultant APAC,Widget Brain,Canberra ACT,,,"Canberra ACTAbout Widget Brain

AI-focused tech company? Check. Fast-paced and innovative environment? Check. Spirited and informal culture? Check. Colleagues with different backgrounds from all over the world? Check. The coolest product ever? Check!

At Widget Brain, we’re passionate about how our AI Services help customers boost their business performance. Our workforce optimization algorithms build the best schedules ever made, focusing on improving employee happiness, labor law compliance and customer experience. We’re growing fast and looking for more colleagues who want to take over the world with autonomous decision-making.

This is what you’ll be doing:

As technical consultant, you’ll be the main communication point for your clients when it comes down to the technical aspects of the project. You are the keeper of technical feasibility when it comes to maximizing the value of our product and solutions for them. This will be your set of responsibilities and tasks:

Configure integrations between our systems and partner / customer
Handle large datasets leveraging tools such as Python and Javascript
Debug problems to provide support for existing clients
Tailor demos to showcase the value of our product and solutions
Lead smaller data exercises where you’re in the race to actually prove the value to the potential client
Once the client has signed the contract, you’ll be his/her main tech communication point

This is who we’re looking for:

You are a fantastic communicator and you’re keen on solving complex technical puzzles while keeping the client in mind at all times. You also have a knack for getting stakeholders and clients on the same page in pre-sales and implementing our solutions/product. Other than that, there are also some other requirements:

0 - 5 years of experience
Bachelor/Master degree or equivalent in Computer Science, Data Science, Economics, Supply Chain / logistics / transportation or Operations Research
Experience with Node.js, Node-RED, or Python
Excellent verbal, written, and interpersonal communication skills in English

Are you our new technical consultant?

For questions, please email to recruitment@widgetbrain.com or apply directly."
80,Reliability Engineer,WorkPac Group,Perth WA,,,"Perth WAWork for a global leader in the mining sector
Join a collaborative Mobile Equipment Maintenance team
FIFO 4/3 roster to Tom Price

About the Role
WorkPac are seeking a Reliability Engineer to provide support to the Mobile Equipment Maintenance team on a FIFO 4/3 roster to Tom Price.

Duties & Responsibilities
Identify and implement initiatives to deliver significant improvements in safety, production and cost.
Provide technical assistance to execution teams to support timely defect diagnosis and/or recovery.
Work in close collaboration with site stakeholders to perform high-level root cause and defect elimination analyses to improve the reliability or running cost of the site's Heavy Mobile Equipment.
Review and optimise cost and impact of equipment down time by auditing accuracy of fault diagnosis, repair quality, and availability of materials/spare parts.
Monitor and support execution of RTIO Work Management processes.
Assist to maintain accuracy of sit

Work for a global leader in the mining sector

Join a collaborative Mobile Equipment Maintenance team

FIFO 4/3 roster to Tom Price

About the Role
WorkPac are seeking a Reliability Engineer to provide support to the Mobile Equipment Maintenance team on a FIFO 4/3 roster to Tom Price.

Duties & Responsibilities

Identify and implement initiatives to deliver significant improvements in safety, production and cost.

Provide technical assistance to execution teams to support timely defect diagnosis and/or recovery.

Work in close collaboration with site stakeholders to perform high-level root cause and defect elimination analyses to improve the reliability or running cost of the site's Heavy Mobile Equipment.

Review and optimise cost and impact of equipment down time by auditing accuracy of fault diagnosis, repair quality, and availability of materials/spare parts.

Monitor and support execution of RTIO Work Management processes.

Assist to maintain accuracy of site maintenance and delay reporting data.

Review condition monitoring data, working with site stakeholders to support timely resolution of delays.

Skills & Experience

Degree in Engineering (Mechanical or Electrical) or significant related technical experience.

Demonstrated experience working with HME (Heavy Mobile Equipment).

Experienced delivering continuous improvement initiatives and projects.

Proven capability in Defect Elimination and Root Cause Analysis processes.

Excellent facilitation and presentation skills.

Able to work cooperatively in a small team, demonstrating flexibility and adaptation.

Sound judgement, analytical reasoning, problem-solving and decision-making skills.

Advanced computer literacy, in particular with Microsoft Excel and/or SQL.

About WorkPac
WorkPac is Australia's leading, privately owned recruitment provider to the mining, construction, engineering, light industrial and healthcare sectors. We are proud to partner with some of the country's leading companies to deliver rewarding permanent, contract, temporary and traineeship recruitment opportunities.

Apply Now
Click on the apply button or for more information please contact:
Julie Rice, Principal Consultant
WorkPac Rio Tinto Project Services - Professional
Email: Julie.rice@workpac.com
Job Order reference number: 7401J20202792
At WorkPac Professional, we recognise we are strengthened by diversity. We are committed to providing a work environment in which everyone is included, treated fairly and with respect. We are an Equal Opportunity employer and we encourage applications from women and Indigenous people."
81,Data Integration Specialist,Attribute Consulting,Sydney NSW 2000,"$125,000 - $140,000 a year",,"Sydney NSW 2000$125,000 - $140,000 a yearResponsibilities:

The purpose of this role is to deliver the Data & Analytics operating framework for Business Intelligence across the business. As a new role this is an exciting opportunity to develop a ‘ground up’ approach for customer engagement, content design and capability uplift.

As the data and technology specialist, you will work closely with all business unit analyst roles to improve customer experience for insight delivery and develop analyst awareness and capability in business intelligence technology, practices and processes.

Requirements:
Advanced knowledge of business intelligence platforms and tools (Alteryx, Tableau, SQL, SSIS, COGNOS, D3)
Excellent communication and stakeholder management skills
Coding in relevant languages (python, r etc.) is desirable but not essential
Predictive modelling experience is desirable but not essential"
82,Senior Data Architect - APAC,Continuum Jobs,Brisbane QLD,,,"Brisbane QLDIT & Telecomms
Brisbane
Permanent / Full Time
11/02/2020
About the role

As a Data Architect you will work directly with a variety of customers across APAC providing Data and Analytics cloud based architecture, design and thought leadership to help customers and partners derive business value from Data in the cloud.

This role will specifically focus on Data processing capabilities and you will develop and deliver proof-of-concept projects, technical workshops, and support implementation projects.

About You
Industry leadership in the fields of database or data warehousing
5+ years’ experience of Data Analytics platform implementation
3+ years of hands-on experience with implementation & performance tuning Hadoop/Spark
Experience with one or more relevant tools - Sqoop, Flume, Kinesisor Kafka
Familiarity with one or more SQL-on-Hadoop technology (Hive, Pig, Impala, Spark SQL and Presto).
Implementation and tuning experience specifically using Amazon Elastic Map Reduce (EMR).
Understanding of database and analytical technologies in the industry including MPP and NoSQL databases, Data Warehouse design, BI reporting and Dashboard development.
If this sounds like you, hit ""Apply Now"" or contact Ashlee at Ashlee@ctmr.com.au"
83,Data Architect,Bluefin Resources,Melbourne VIC,,,"Melbourne VICBig Data Architect for major company in Melbourne
Strategic thinker with business case development experience
Central Melbourne location
This is a great opportunity for a someone with strong data and technology skills to be a central point for all technology decisions.

Responsibilities for the role will include:

High-level solution architecture work
Develop technology and influence technology decisions
Mentor and guide more junior team members
Develop business cases and help to develop/present data strategy
Work closely with the Digital Analytics group (heavily involved in advanced analytics)
Work closely with stakeholders and internal teams to ensure the information management solution architecture meets the organisation's needs

The successful candidate will have:

Strong experience of implementing big data solutions, and of big data technologies
Strong and broad technology, with Hadoop ecosystem (Hive, Spark, Kafka) and Python experience
Azure experience is mandatory
Demonstrable background in data warehousing
Good Solution Architecture experience
Deep understanding of database and analytical technologies including MPP and NoSQL databases, data warehouse design, BI reporting and dashboard development
Experience in advanced analytics and data science concepts and tools
PoC experience
Strong experience of developing business cases and strategy/roadmaps is mandatory

This is a great opportunity to play a key role in technology at a reputable organisation. If you believe you are suitable, please apply for immediate consideration, or call John O'Connor on 03 8330 5017 for a confidential discussion.
IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.

http://www.bluefinresources.com.au/privacy-policy
BBBH38592_158140001072399"
